发病部位,疾病名称,证型名称,病机要点,辨证要点,临床表现,治法,代表方剂,发病概率,治疗难度
心系,胸痹,气阴两虚证,心气不足，阴血亏耗，血行瘀滞,心胸隐痛，时作时休，心悸气短，动则益甚，伴倦怠乏力，声息低微，面色?白，易汗出，舌质淡红，舌体胖且边有齿痕，苔薄白，脉虚细缓或结代,心胸隐痛，时作时休，心悸气短，动则益甚，伴倦怠乏力，声息低微，面色?白，易汗出，舌质淡红，舌体胖且边有齿痕，苔薄白，脉虚细缓或结代,益气养阴，活血通脉,生脉散合人参养荣汤,少见,较难
心系,胸痹,心肾阴虚证,水不济火，虚热内灼，心失所养，血脉不畅,心痛憋闷，心悸盗汗，虚烦不寐，腰酸膝软，头晕耳鸣，口干便秘，舌红少津，苔薄或剥，脉细数或促代,心痛憋闷，心悸盗汗，虚烦不寐，腰酸膝软，头晕耳鸣，口干便秘，舌红少津，苔薄或剥，脉细数或促代,滋阴清火，养心和络,天王补心丹合炙甘草汤,少见,极难
心系,胸痹,心肾阳虚证,阳气虚衰，胸阳不振，气机痹阻，血行瘀滞,心悸而痛，胸闷气短，动则更甚，自汗，面色?白，神倦怯寒，四肢欠温或肿胀，舌质淡胖，边有齿痕，苔白或腻，脉沉细迟,心悸而痛，胸闷气短，动则更甚，自汗，面色?白，神倦怯寒，四肢欠温或肿胀，舌质淡胖，边有齿痕，苔白或腻，脉沉细迟,温补阳气，振奋心阳,参附汤合右归饮,罕见,极难
心系,不寐,肝火扰心证,肝郁化火，上扰心神,不寐多梦，甚则彻夜不眠，急躁易怒，伴头晕头胀，目赤耳鸣，口干而苦，不思饮食，便秘溲赤，舌红苔黄，脉弦而数,不寐多梦，甚则彻夜不眠，急躁易怒，伴头晕头胀，目赤耳鸣，口干而苦，不思饮食，便秘溲赤，舌红苔黄，脉弦而数,疏肝泻火，镇心安神,龙胆泻肝汤,常见,一般
心系,不寐,痰热扰心证,湿食生痰，郁痰生热，扰动心神,心烦不寐，胸闷脘痞，泛恶嗳气，伴口苦，头重，目眩，舌偏红，苔黄腻，脉滑数,心烦不寐，胸闷脘痞，泛恶嗳气，伴口苦，头重，目眩，舌偏红，苔黄腻，脉滑数,清化痰热，和中安神,黄连温胆汤,常见,一般
心系,不寐,心脾两虚证,脾虚血亏，心神失养，神不安舍,不易入睡，多梦易醒，心悸健忘，神疲食少，伴头晕目眩，四肢倦怠，腹胀便溏，面色少华，舌淡苔薄，脉细无力,不易入睡，多梦易醒，心悸健忘，神疲食少，伴头晕目眩，四肢倦怠，腹胀便溏，面色少华，舌淡苔薄，脉细无力,补益心脾，养血安神,归脾汤,常见,一般
心系,不寐,心肾不交证,肾水亏虚，不能上济于心，心火炽盛，不能下交于肾,心烦不寐，入睡困难，心悸多梦，伴头晕耳鸣，腰膝酸软，潮热盗汗，五心烦热，咽干少津，男子遗精，女子月经不调，舌红少苔，脉细数,心烦不寐，入睡困难，心悸多梦，伴头晕耳鸣，腰膝酸软，潮热盗汗，五心烦热，咽干少津，男子遗精，女子月经不调，舌红少苔，脉细数,滋阴降火，交通心肾,六味地黄丸合交泰丸,少见,较难
心系,不寐,心胆气虚证,心胆虚怯，心神失养，神魂不安,虚烦不寐，触事易惊，终日惕惕，胆怯心悸，伴气短自汗，倦怠乏力，舌淡，脉弦细,虚烦不寐，触事易惊，终日惕惕，胆怯心悸，伴气短自汗，倦怠乏力，舌淡，脉弦细,益气镇惊，安神定志,安神定志丸合酸枣仁汤,少见,较难
脑系,头痛,风寒头痛,风寒外袭，上犯巅顶，凝滞经脉,头痛连及项背，常有拘急收紧感，或伴恶风畏寒，遇风尤剧，口不渴，苔薄白，脉浮紧,头痛连及项背，常有拘急收紧感，或伴恶风畏寒，遇风尤剧，口不渴，苔薄白，脉浮紧,疏散风寒止痛,川芎茶调散,常见,一般
脑系,头痛,风热头痛,风热外袭，上扰清空，窍络失和,头痛而胀，甚则头胀如裂，发热或恶风，面红目赤，舌尖红，苔薄黄，脉浮数,头痛而胀，甚则头胀如裂，发热或恶风，面红目赤，口渴喜饮，大便不畅，或便秘，溲赤，舌尖红，苔薄黄，脉浮数,疏风清热和络,芎芷石膏汤,常见,一般
脑系,头痛,风湿头痛,风湿之邪，上蒙头窍，困遏清阳,头痛如裹，肢体困重，胸闷纳呆，大便或溏，苔白腻，脉濡,头痛如裹，肢体困重，胸闷纳呆，大便或溏，苔白腻，脉濡,祛风胜湿通窍,羌活胜湿汤,常见,一般
脑系,头痛,肝阳头痛,肝失条达，气郁化火，阳亢风动,头昏胀痛，两侧为重，心烦易怒，夜寐不宁，口苦面红，舌红苔黄，脉弦或弦数,头昏胀痛，两侧为重，心烦易怒，夜寐不宁，口苦面红，或兼胁痛，舌红苔黄，脉弦或弦数,平肝潜阳，滋养肝肾,天麻钩藤饮,常见,较难
脑系,头痛,血虚头痛,气血不足，不能上荣，窍络失养,头痛隐隐，时时昏晕，心悸失眠，面色少华，神疲乏力，遇劳加重，舌质淡，苔薄白，脉细弱,头痛隐隐，时时昏晕，心悸失眠，面色少华，神疲乏力，遇劳加重，舌质淡，苔薄白，脉细弱,养血滋阴，和络止痛,加味四物汤,少见,较难
脑系,头痛,痰浊头痛,脾失健运，痰浊中阻，上蒙清窍，清阳不展,头痛昏蒙，胸脘满闷，纳呆呕恶，舌苔白腻，脉滑或弦滑,头痛昏蒙，胸脘满闷，纳呆呕恶，大便或溏，舌苔白腻，脉滑或弦滑,健脾燥湿，化痰降逆,半夏白术天麻汤,少见,较难
脑系,头痛,肾虚头痛,肾精亏虚，髓海不足，脑窍失荣,头痛且空，眩晕耳鸣，腰膝酸软，神疲乏力，滑精带下，舌红少苔，脉细无力,头痛且空，眩晕耳鸣，腰膝酸软，神疲乏力，滑精带下，舌红少苔，脉细无力,养阴补肾，填精生髓,大补元煎,罕见,极难
脑系,头痛,瘀血头痛,瘀血阻窍，络脉滞涩，不通则痛,头痛经久不愈，痛处固定不移，痛如锥刺，或有头部外伤史，舌紫暗，或有瘀斑、瘀点，苔薄白，脉细或细涩,头痛经久不愈，痛处固定不移，痛如锥刺，或有头部外伤史，舌紫暗，或有瘀斑、瘀点，苔薄白，脉细或细涩,活血化瘀，通窍止痛,通窍活血汤,少见,极难
脑系,眩晕,肝阳上亢证,肝阳风火，上扰清窍,眩晕，耳鸣，头目胀痛，口苦，失眠多梦，遇烦劳郁怒而加重，甚则仆倒，舌红苔黄，脉弦或数,眩晕，耳鸣，头目胀痛，口苦，失眠多梦，遇烦劳郁怒而加重，甚则仆倒，颜面潮红，急躁易怒，肢麻震颤，舌红苔黄，脉弦或数,平肝潜阳，滋养肝肾,天麻钩藤饮,常见,一般
脑系,眩晕,痰湿中阻证,痰浊中阻，上蒙清窍，清阳不升,眩晕，头重昏蒙，或伴视物旋转，胸闷恶心，呕吐痰涎，舌苔白腻，脉濡滑,眩晕，头重昏蒙，或伴视物旋转，胸闷恶心，呕吐痰涎，食少多寐，舌苔白腻，脉濡滑,化痰祛湿，健脾和胃,半夏白术天麻汤,常见,一般
脑系,眩晕,瘀血阻窍证,瘀血阻窍，气血不畅，脑失所养,眩晕，头痛，兼见健忘，失眠，心悸，精神不振，舌暗有瘀斑，脉涩或细,眩晕，头痛，兼见健忘，失眠，心悸，精神不振，耳鸣耳聋，面唇紫暗，舌暗有瘀斑，脉涩或细,祛瘀生新，活血通窍,通窍活血汤,少见,较难
脑系,眩晕,气血亏虚证,气血亏虚，清阳不展，脑失所养,眩晕动则加剧，劳累即发，面色?白，神疲乏力，倦怠懒言，唇甲不华，发色不泽，舌淡苔薄白，脉细弱,眩晕动则加剧，劳累即发，面色?白，神疲乏力，倦怠懒言，唇甲不华，发色不泽，心悸少寐，纳少腹胀，舌淡苔薄白，脉细弱,补益气血，调养心脾,归脾汤,常见,一般
脑系,眩晕,肾精不足证,肾精不足，髓海空虚，脑失所养,眩晕日久不愈，精神萎靡，腰酸膝软，少寐多梦，健忘，两目干涩，视力减退，舌红少苔，脉细数；或舌淡嫩，苔白，脉弱尺甚,眩晕日久不愈，精神萎靡，腰酸膝软，少寐多梦，健忘，两目干涩，视力减退，或遗精滑泄，耳鸣齿摇，或颧红咽干，五心烦热，舌红少苔，脉细数；或面色?白，形寒肢冷，舌淡嫩，苔白，脉弱尺甚,滋养肝肾，益精填髓,左归丸,少见,较难
脑系,中风,风痰入络证,脉络空虚，风痰乘虚入中，气血闭阻,肌肤不仁，手足麻木，突然发生口眼㖞斜，语言不利，口角流涎，舌强语謇，苔薄白，脉浮数,肌肤不仁，手足麻木，突然发生口眼㖞斜，语言不利，口角流涎，舌强语謇，甚则半身不遂，或兼见手足拘挛，关节酸痛等症，苔薄白，脉浮数,祛风化痰通络,真方白丸子,常见,较难
脑系,中风,风阳上扰证,肝火偏旺，阳亢化风，横窜络脉,平素头晕头痛，耳鸣目眩，突然发生口眼㖞斜，舌强语謇，舌质红，苔黄，脉弦,平素头晕头痛，耳鸣目眩，突然发生口眼㖞斜，舌强语謇，或手足重滞，甚则半身不遂等症，舌质红，苔黄，脉弦,平肝潜阳，活血通络,天麻钩藤饮,常见,较难
脑系,中风,阴虚风动证,肝肾阴虚，风阳内动，风痰瘀阻经络,平素头晕耳鸣，腰酸，突然发生口眼㖞斜，言语不利，手指瞤动，舌质红，苔腻，脉弦细数,平素头晕耳鸣，腰酸，突然发生口眼㖞斜，言语不利，手指瞤动，或有半身不遂，舌质红，苔腻，脉弦细数,滋阴潜阳，息风通络,镇肝息风汤,少见,较难
脑系,中风,痰热腑实证,痰热阻滞，风痰上扰，腑气不通,半身不遂，口眼㖞斜，言语謇涩或不语，偏身麻木，腹胀，便干便秘，舌质暗红，苔黄腻，脉弦滑,半身不遂，口眼㖞斜，言语謇涩或不语，偏身麻木，腹胀，便干便秘，头晕目眩，痰多而黏，舌质暗红，苔黄腻，脉弦滑,通腑泄热，息风化痰,桃仁承气汤,少见,极难
脑系,中风,痰热瘀阻证,痰热内盛，壅滞脉络，气血瘀阻,半身不遂，口眼㖞斜，言语謇涩，身热，痰多，舌质红，苔黄腻，脉滑数,半身不遂，口眼㖞斜，言语謇涩，身热，痰多，气粗，便秘，舌质红，苔黄腻，脉滑数,清热化痰，活血通络,星蒌承气汤,少见,极难
脑系,中风,痰湿蒙神证,痰湿偏盛，风夹痰湿，上蒙清窍，内闭经络,半身不遂，口眼㖞斜，言语不清或不语，偏身麻木，面色苍白，舌质暗淡，舌苔白腻，脉沉滑,半身不遂，口眼㖞斜，言语不清或不语，偏身麻木，面色苍白，瞳孔缩小，痰涎壅盛，四肢不温，静而不烦，舌质暗淡，舌苔白腻，脉沉滑,燥湿化痰，醒神开窍,涤痰汤,罕见,极难
脑系,中风,痰热内闭证,痰热内闭清窍，阳闭之证,起病急骤，神昏，半身不遂，鼻鼾痰鸣，项背身热，舌质红，苔黄腻，脉弦滑数,起病急骤，神昏，半身不遂，鼻鼾痰鸣，肢体强痉拘急，项背身热，躁扰不宁，甚则手足厥冷，频繁呕血，舌质红，苔黄腻，脉弦滑数,清热化痰，醒神开窍,羚羊角汤合安宫牛黄丸,罕见,绝症
脑系,中风,元气败脱证,元气衰微，阴阳欲绝,神昏，肢体瘫软，手撒肢冷，汗多，大小便自遗，舌痿，脉微欲绝,神昏，肢体瘫软，手撒肢冷，汗多，大小便自遗，面色苍白，呼吸微弱，舌痿，脉微欲绝,益气回阳，救阴固脱,参附汤合生脉散,罕见,绝症
脑系,中风,风痰瘀阻证,风痰阻络，气血运行不利，筋脉失养,口眼㖞斜，舌强语謇，肢体麻木，舌质暗紫，苔滑腻，脉弦滑,口眼㖞斜，舌强语謇，肢体麻木，半身不遂，舌质暗紫，苔滑腻，脉弦滑,搜风化痰，行瘀通络,解语丹,少见,较难
脑系,中风,气虚络瘀证,气虚血瘀，脉阻络痹,肢体偏枯不用，肢软无力，面色萎黄，舌质淡紫或有瘀斑，苔薄白，脉细涩或细弱,肢体偏枯不用，肢软无力，面色萎黄，舌质淡紫或有瘀斑，苔薄白，脉细涩或细弱,益气养血，化瘀通络,补阳还五汤,常见,较难
脑系,中风,肝肾亏虚证,肝肾亏虚，阴血不足，筋脉失养,半身不遂，患肢僵硬，拘挛变形，舌强不语，或偏瘫，肢体肌肉萎缩，舌红脉细，或舌淡红，脉沉细,半身不遂，患肢僵硬，拘挛变形，舌强不语，或偏瘫，肢体肌肉萎缩，舌红脉细，或舌淡红，脉沉细,滋养肝肾,左归丸合地黄饮子,少见,极难
脾胃系,胃痛,寒邪客胃证,寒凝胃脘，阳气被遏，气机阻滞,胃痛暴作，恶寒喜暖，得温则痛减，遇寒则痛增，口淡不渴，或喜热饮，舌淡苔薄白，脉弦紧,胃痛暴作，恶寒喜暖，得温则痛减，遇寒则痛增，口淡不渴，或喜热饮，舌淡苔薄白，脉弦紧,温胃散寒，行气止痛,香苏散合良附丸,常见,一般
脾胃系,胃痛,饮食伤胃证,饮食不节，食积胃脘，阻塞胃气,胃脘疼痛，胀满拒按，嗳腐吞酸，或呕吐不消化食物，其味腐臭，吐后痛减，不思饮食，大便不爽，得矢气及便后稍舒，舌苔厚腻，脉滑,胃脘疼痛，胀满拒按，嗳腐吞酸，或呕吐不消化食物，其味腐臭，吐后痛减，不思饮食，大便不爽，得矢气及便后稍舒，舌苔厚腻，脉滑,消食导滞，和胃止痛,保和丸,常见,一般
脾胃系,胃痛,肝气犯胃证,肝气郁结，横逆犯胃，胃气阻滞,胃脘胀痛，痛连两胁，遇烦恼则痛作或痛甚，嗳气、矢气则痛舒，舌苔多薄白，脉弦,胃脘胀痛，痛连两胁，遇烦恼则痛作或痛甚，嗳气、矢气则痛舒，胸闷嗳气，喜长叹息，大便不畅，舌苔多薄白，脉弦,疏肝解郁，理气止痛,柴胡疏肝散,常见,一般
脾胃系,胃痛,湿热中阻证,湿热蕴阻，胃气痞阻,胃脘疼痛，痛势急迫，脘闷灼热，口干口苦，舌红，苔黄腻，脉滑数,胃脘疼痛，痛势急迫，脘闷灼热，口干口苦，口渴而不欲饮，纳呆恶心，小便色黄，大便不畅，舌红，苔黄腻，脉滑数,清化湿热，理气和胃,清中汤,少见,较难
脾胃系,胃痛,瘀血停胃证,瘀停胃络，脉络壅滞,胃脘疼痛，如针刺，似刀割，痛有定处，按之痛甚，舌质紫暗或有瘀斑，脉涩,胃脘疼痛，如针刺，似刀割，痛有定处，按之痛甚，食后加剧，入夜尤甚，或见吐血黑便，舌质紫暗或有瘀斑，脉涩,化瘀通络，理气和胃,失笑散合丹参饮,少见,较难
脾胃系,胃痛,胃阴亏耗证,胃阴不足，胃失濡养,胃脘隐隐灼痛，似饥而不欲食，口干咽燥，大便干结，舌红少津，脉细数,胃脘隐隐灼痛，似饥而不欲食，口干咽燥，五心烦热，消瘦乏力，口渴思饮，大便干结，舌红少津，脉细数,养阴益胃，和中止痛,一贯煎合芍药甘草汤,少见,较难
脾胃系,胃痛,脾胃虚寒证,脾胃虚寒，失于温养,胃痛隐隐，绵绵不休，喜温喜按，空腹痛甚，得食则缓，劳累或食冷或受凉后疼痛发作或加重，舌淡苔白，脉虚弱或迟缓,胃痛隐隐，绵绵不休，喜温喜按，空腹痛甚，得食则缓，劳累或食冷或受凉后疼痛发作或加重，泛吐清水，食少，神疲乏力，手足不温，大便溏薄，舌淡苔白，脉虚弱或迟缓,温中健脾，和胃止痛,黄芪建中汤,常见,一般
脾胃系,痞满,饮食内停证,饮食停滞，胃腑失和，气机壅塞,脘腹痞闷而胀，进食尤甚，拒按，嗳腐吞酸，恶食呕逆，舌苔厚腻，脉滑,脘腹痞闷而胀，进食尤甚，拒按，嗳腐吞酸，恶食呕逆，或大便不调，矢气频作，味如败卵，舌苔厚腻，脉滑,消食导滞，和胃消痞,保和丸,常见,一般
脾胃系,痞满,痰湿中阻证,痰湿阻滞，脾失健运，气机不和,脘腹痞塞不舒，胸膈满闷，头晕目眩，身重困倦，舌苔白腻，脉沉滑,脘腹痞塞不舒，胸膈满闷，头晕目眩，身重困倦，呕恶纳呆，口淡不渴，小便不利，舌苔白腻，脉沉滑,燥湿化痰，理气和中,二陈汤合平胃散,常见,一般
脾胃系,痞满,湿热阻胃证,湿热内蕴，阻遏气机，脾胃失和,脘腹痞闷，或嘈杂不舒，恶心呕吐，口干不欲饮，舌红，苔黄腻，脉滑数,脘腹痞闷，或嘈杂不舒，恶心呕吐，口干不欲饮，口苦，纳少，大便不畅，舌红，苔黄腻，脉滑数,清热化湿，和胃消痞,泻心汤合连朴饮,少见,较难
脾胃系,痞满,肝胃不和证,肝气犯胃，胃气郁滞，失于和降,脘腹痞闷，胸胁胀满，心烦易怒，善太息，舌淡红，苔薄白，脉弦,脘腹痞闷，胸胁胀满，心烦易怒，善太息，呕恶嗳气，或吐苦水，大便不爽，舌淡红，苔薄白，脉弦,疏肝解郁，和胃消痞,越鞠丸合枳术丸,常见,一般
脾胃系,痞满,脾胃虚弱证,脾胃虚弱，健运失职，升降失司,脘腹满闷，时轻时重，纳呆便溏，神疲乏力，少气懒言，舌淡，苔薄白，脉细弱,脘腹满闷，时轻时重，纳呆便溏，神疲乏力，少气懒言，语声低微，面色萎黄，舌淡，苔薄白，脉细弱,补气健脾，升清降浊,补中益气汤,常见,一般
脾胃系,痞满,胃阴不足证,胃阴亏虚，胃失濡养，和降失司,脘腹痞闷，嘈杂，饥不欲食，恶心嗳气，舌红少苔，脉细数,脘腹痞闷，嘈杂，饥不欲食，恶心嗳气，口燥咽干，大便秘结，舌红少苔，脉细数,养阴益胃，调中消痞,益胃汤,少见,较难
脾胃系,呕吐,外邪犯胃证,外邪犯胃，中焦气滞，浊气上逆,突然呕吐，胸脘满闷，发热恶寒，头身疼痛，舌苔白腻，脉濡缓,突然呕吐，胸脘满闷，发热恶寒，头身疼痛，不思饮食，舌苔白腻，脉濡缓,疏邪解表，化浊和中,藿香正气散,常见,一般
脾胃系,呕吐,食滞内停证,食积内停，气机受阻，浊气上逆,呕吐酸腐，脘腹胀满，嗳气厌食，大便或溏或结，舌苔厚腻，脉滑实,呕吐酸腐，脘腹胀满，嗳气厌食，大便或溏或结，舌苔厚腻，脉滑实,消食化滞，和胃降逆,保和丸,常见,一般
脾胃系,呕吐,痰饮内阻证,痰饮内停，中阳不振，胃气上逆,呕吐清水痰涎，脘闷不食，头眩心悸，舌苔白腻，脉滑,呕吐清水痰涎，脘闷不食，头眩心悸，舌苔白腻，脉滑,温中化饮，和胃降逆,小半夏汤合苓桂术甘汤,少见,较难
脾胃系,呕吐,肝气犯胃证,肝气不舒，横逆犯胃，胃失和降,呕吐吞酸，嗳气频繁，胸胁胀痛，舌质红，苔薄腻，脉弦,呕吐吞酸，嗳气频繁，胸胁胀痛，舌质红，苔薄腻，脉弦,疏肝理气，和胃降逆,四七汤,常见,一般
脾胃系,呕吐,脾胃气虚证,脾胃气虚，纳运无力，胃虚气逆,食欲不振，食入难化，恶心呕吐，脘部痞闷，大便不畅，舌淡胖，苔薄，脉虚弦,食欲不振，食入难化，恶心呕吐，脘部痞闷，大便不畅，舌苔白滑，脉虚弦,健脾益气，和胃降逆,香砂六君子汤,常见,一般
脾胃系,呕吐,脾胃阳虚证,脾胃虚寒，失于温煦，运化失职,饮食稍多即吐，时作时止，面色?白，倦怠乏力，喜暖恶寒，舌淡，脉濡弱,饮食稍多即吐，时作时止，面色?白，倦怠乏力，喜暖恶寒，四肢不温，口干而不欲饮，大便溏薄，舌淡，脉濡弱,温中健脾，和胃降逆,理中汤,少见,较难
脾胃系,呕吐,胃阴不足证,胃阴不足，胃失濡润，和降失司,呕吐反复发作，或时作干呕，似饥而不欲食，舌红少津，脉细数,呕吐反复发作，或时作干呕，似饥而不欲食，口燥咽干，舌红少津，脉细数,滋养胃阴，降逆止呕,麦门冬汤,少见,较难
脾胃系,泄泻,寒湿内盛证,寒湿内盛，脾失健运，清浊不分,泄泻清稀，甚则如水样，脘闷食少，腹痛肠鸣，舌苔白腻，脉濡缓,泄泻清稀，甚则如水样，脘闷食少，腹痛肠鸣，或兼外感风寒，则恶寒，发热，头痛，肢体酸痛，舌苔白腻，脉濡缓,芳香化湿，解表散寒,藿香正气散,常见,一般
脾胃系,泄泻,湿热伤中证,湿热壅滞，损伤脾胃，传化失常,泄泻腹痛，泻下急迫，或泻而不爽，粪色黄褐，气味臭秽，肛门灼热，舌质红，苔黄腻，脉滑数或濡数,泄泻腹痛，泻下急迫，或泻而不爽，粪色黄褐，气味臭秽，肛门灼热，烦热口渴，小便短黄，舌质红，苔黄腻，脉滑数或濡数,清热利湿，分利止泻,葛根黄芩黄连汤,常见,一般
脾胃系,泄泻,食滞肠胃证,宿食内停，阻滞胃肠，传化失司,腹痛肠鸣，泻下粪便，臭如败卵，泻后痛减，脘腹胀满，舌苔垢浊或厚腻，脉滑,腹痛肠鸣，泻下粪便，臭如败卵，泻后痛减，脘腹胀满，嗳腐酸臭，不思饮食，舌苔垢浊或厚腻，脉滑,消食导滞，和中止泻,保和丸,常见,一般
脾胃系,泄泻,肝气乘脾证,肝气不舒，横逆犯脾，脾失健运,泄泻肠鸣，腹痛攻窜，矢气频作，伴有胸胁胀闷，嗳气食少，舌淡，脉弦,泄泻肠鸣，腹痛攻窜，矢气频作，伴有胸胁胀闷，嗳气食少，每因抑郁恼怒，或情绪紧张之时，发生腹痛泄泻，舌淡，脉弦,抑肝扶脾,痛泻要方,少见,较难
脾胃系,泄泻,脾胃虚弱证,脾胃虚弱，运化无权，清浊不分,大便时溏时泻，迁延反复，食少，食后脘闷不舒，稍进油腻食物，则大便次数明显增加，面色萎黄，神疲倦怠，舌淡苔白，脉细弱,大便时溏时泻，迁延反复，食少，食后脘闷不舒，稍进油腻食物，则大便次数明显增加，面色萎黄，神疲倦怠，舌质淡，苔白，脉细弱,健脾益气，化湿止泻,参苓白术散,常见,一般
脾胃系,泄泻,肾阳虚衰证,命门火衰，脾失温煦，阴寒内盛,黎明之前脐腹作痛，肠鸣即泻，泻下完谷，泻后则安，形寒肢冷，腰膝酸软，舌淡苔白，脉沉细,黎明之前脐腹作痛，肠鸣即泻，泻下完谷，泻后则安，形寒肢冷，腰膝酸软，舌淡苔白，脉沉细,温肾健脾，固涩止泻,四神丸,少见,较难
脾胃系,痢疾,湿热痢,湿热蕴结，熏灼肠道，气血壅滞，脂络受损,腹痛，里急后重，下痢赤白脓血，肛门灼热，舌苔黄腻，脉滑数,腹痛，里急后重，下痢赤白脓血，黏稠如胶冻，腥臭，肛门灼热，小便短赤，舌苔黄腻，脉滑数,清肠化湿，调气和血,芍药汤,常见,一般
脾胃系,痢疾,疫毒痢,疫邪热毒，壅盛肠道，燔灼气血,发病急骤，壮热口渴，头痛烦躁，恶心呕吐，甚者神昏惊厥，下痢鲜紫脓血，舌红绛，苔黄燥，脉滑数或微欲绝,发病急骤，壮热口渴，头痛烦躁，恶心呕吐，大便频频，痢下鲜紫脓血，腹痛剧烈，后重感特著，甚者神昏惊厥，舌红绛，苔黄燥，脉滑数或微欲绝,清热解毒，凉血除积,白头翁汤合芍药汤,少见,极难
脾胃系,痢疾,寒湿痢,寒湿客肠，气血凝滞，传导失司,腹痛拘急，痢下赤白黏冻，白多赤少，或为纯白冻，里急后重，舌苔白腻，脉濡缓,腹痛拘急，痢下赤白黏冻，白多赤少，或为纯白冻，里急后重，脘胀腹满，头身困重，舌苔白腻，脉濡缓,温中燥湿，调气和血,不换金正气散,少见,一般
脾胃系,痢疾,阴虚痢,阴虚湿热，肠络受损,痢下赤白，日久不愈，脓血黏稠，或下鲜血，脐下灼痛，虚坐努责，舌红少津，苔少或花剥，脉细数,痢下赤白，日久不愈，脓血黏稠，或下鲜血，脐下灼痛，虚坐努责，食少，心烦口干，至夜转剧，舌红少津，苔少或花剥，脉细数,养阴和营，清肠化湿,驻车丸,罕见,较难
脾胃系,痢疾,虚寒痢,脾肾阳虚，寒湿内生，阻滞肠腑,痢下赤白清稀，无腥臭，或为白冻，甚则滑脱不禁，腹部隐痛，喜按喜温，舌淡苔白滑，脉沉细而弱,痢下赤白清稀，无腥臭，或为白冻，甚则滑脱不禁，腹部隐痛，喜按喜温，形寒畏冷，四肢不温，食少神疲，腰膝酸软，舌淡苔白滑，脉沉细而弱,温补脾肾，收涩固脱,桃花汤合真人养脏汤,少见,较难
脾胃系,痢疾,休息痢,病久正伤，邪恋肠腑，传导不利,下痢时发时止，迁延不愈，常因饮食不当、受凉、劳累而发，发则大便夹有赤白黏冻，舌淡苔腻，脉濡软或虚数,下痢时发时止，迁延不愈，常因饮食不当、受凉、劳累而发，发则大便夹有赤白黏冻，腹痛，里急后重，饮食减少，倦怠怯冷，舌淡苔腻，脉濡软或虚数,温中清肠，调气化滞,连理汤,罕见,极难
