类别,方剂名称,组成（原方剂量 + 现代参考量）,用法,功用,主治,证治机理,方解（君臣佐使）,配伍特点,运用（辨证要点 + 禁忌）
解表剂?辛温解表,麻黄汤,麻黄去节，三两（9g）、桂枝去皮，二两（6g）、杏仁去皮尖，七十个（9g）、甘草炙，一两（3g）,水煎服，温覆取微汗,发汗解表，宣肺平喘,外感风寒表实证：恶寒发热，头身疼痛，无汗而喘，舌苔薄白，脉浮紧,风寒束表，卫闭营郁，毛窍闭塞，肺气失宣,君：麻黄；臣：桂枝；佐：杏仁；使：甘草,麻桂相须，开腠畅营；麻杏相使，宣降相宜,辨证要点：恶寒发热、无汗而喘、脉浮紧；禁忌：疮家、淋家、衄家、亡血家禁用
解表剂?辛温解表,大青龙汤,麻黄去节，六两（12g）、桂枝二两（6g）、甘草炙，二两（6g）、杏仁去皮尖，四十粒（6g）、石膏如鸡子大（18g）、生姜三两（9g）、大枣十二枚（6g）,水煎温服，取微汗,发汗解表，兼清里热,外感风寒内有郁热证；溢饮：身体疼重，四肢浮肿，恶寒身热无汗烦躁,风寒束表，阳气内郁化热；或风寒外束，水饮溢于四肢,君：麻黄；臣：桂枝、石膏；佐：杏仁、生姜、大枣；使：甘草,寒温并用，表里同治，重在辛温发汗,辨证要点：恶寒发热、无汗、烦躁、脉浮紧；表虚者禁用
解表剂?辛温解表,桂枝汤,桂枝去皮，三两（9g）、芍药三两（9g）、甘草炙，二两（6g）、生姜切，三两（9g）、大枣擘，十二枚（6g）,水煎服，温覆取微汗，服后啜热稀粥,解肌发表，调和营卫,外感风寒表虚证：恶风发热，汗出头痛，鼻鸣干呕，苔白不渴，脉浮缓或浮弱,外感风寒，营卫不和（卫强营弱）,君：桂枝；臣：芍药；佐：生姜、大枣；使：甘草,辛散与酸收相配，散中有收；助阳与益阴同用，营卫并调,辨证要点：恶风、发热、汗出、脉浮缓；禁忌：禁生冷、黏滑等物
解表剂?辛温解表,九味羌活汤,羌活（9g）、防风（9g）、苍术（9g）、细辛（3g）、川芎（6g）、香白芷（6g）、生地黄（6g）、黄芩（6g）、甘草（6g）,水煎服,发汗祛湿，兼清里热,外感风寒湿邪内有蕴热证：恶寒发热无汗，头痛项强，肢体酸楚疼痛，口苦微渴,外感风寒湿邪，郁遏卫阳，闭塞腠理；里有蕴热,君：羌活；臣：防风、苍术；佐：细辛、白芷、川芎、生地、黄芩；使：甘草,主以辛温，少佐寒凉，六经分治,辨证要点：恶寒发热、头痛无汗、肢体酸楚疼痛、口苦微渴
解表剂?辛温解表,香苏散,香附子炒香去毛、紫苏叶各四两（12g）、甘草炙，一两（3g）、陈皮不去白，二两（6g）,作汤剂，水煎服,疏散风寒，理气和中,外感风寒气郁不舒证：恶寒身热，头痛无汗，胸脘痞闷，不思饮食,外感风寒，卫阳被遏；内兼气滞,君：苏叶；臣：香附；佐：陈皮；使：甘草,辛温疏表与理气行滞相伍，表里同治，重在解表,辨证要点：恶寒发热、头痛无汗、胸脘痞闷、苔薄白、脉浮
解表剂?辛温解表,小青龙汤,麻黄去节，三两（9g）、芍药三两（9g）、细辛三两（3g）、干姜三两（6g）、甘草炙，三两（6g）、桂枝去皮，三两（9g）、五味子半升（9g）、半夏洗，半升（9g）,水煎服,解表散寒，温肺化饮,外寒内饮证：恶寒发热无汗，喘咳痰涎清稀量多，胸痞,外感风寒，表寒引动内饮，水寒相搏，肺失宣降,君：麻黄、桂枝；臣：干姜、细辛；佐：半夏、五味子、芍药；使：甘草,辛散与酸收相配，散中有收；温化与敛肺相伍，开中有合,辨证要点：恶寒发热、无汗、喘咳、痰多清稀、舌苔白滑、脉浮
解表剂?辛温解表,止嗽散,桔梗炒、荆芥、紫菀蒸、百部蒸、白前蒸各二斤（各 12g）、甘草炒十二两（4g）、陈皮水洗去白一斤（6g）,作汤剂，水煎服,宣利肺气，疏风止咳,风邪犯肺之咳嗽证：咳嗽咽痒，咯痰不爽，或微恶风发热,风邪犯肺，肺失清肃；或表解不彻，余邪未尽,君：紫菀、百部；臣：桔梗、白前；佐：荆芥、陈皮；使：甘草,温润平和，不寒不热；重在治肺，兼解表邪,辨证要点：咳嗽咽痒、微恶风发热、苔薄白
解表剂?辛凉解表,银翘散,连翘一两（30g）、银花一两（30g）、苦桔梗六钱（18g）、薄荷六钱（18g）、竹叶四钱（12g）、生甘草五钱（15g）、芥穗四钱（12g）、淡豆豉五钱（15g）、牛蒡子六钱（18g）,作汤剂，加芦根 18g，水煎服，香气大出即取服,辛凉透表，清热解毒,温病初起：发热微恶风寒，无汗或有汗不畅，口渴头痛，咽痛咳嗽,温邪初起，邪在卫分，卫气被郁，肺气失宣,君：银花、连翘；臣：薄荷、牛蒡子、荆芥穗、淡豆豉；佐：芦根、竹叶、桔梗；使：生甘草,辛凉与辛温相伍，主以辛凉；疏散与清解相配，疏清兼顾,辨证要点：发热、微恶寒、咽痛、口渴、脉浮数；禁忌：不宜久煎，舌白滑者禁用
解表剂?辛凉解表,桑菊饮,桑叶二钱五分（7.5g）、菊花一钱（3g）、杏仁二钱（6g）、连翘一钱五分（5g）、薄荷八分（2.5g）、苦桔梗二钱（6g）、生甘草八分（2.5g）、苇根二钱（6g）,水煎温服,疏风清热，宣肺止咳,风温初起邪客肺络证：但咳，身热不甚，口微渴,风温初起，邪犯肺络，肺失清肃，邪浅病轻,君：桑叶、菊花；臣：杏仁、桔梗；佐：薄荷、连翘、芦根；使：甘草,轻清疏风以解表，辛苦宣肃以止咳,辨证要点：咳嗽、发热不甚、微渴、脉浮数
解表剂?辛凉解表,麻黄杏仁甘草石膏汤,麻黄去节，四两（9g）、杏仁去皮尖，五十个（9g）、甘草炙，二两（6g）、石膏碎绵裹，半斤（18g）,水煎服,辛凉疏表，清肺平喘,外感风邪邪热壅肺证：身热不解，有汗或无汗，咳逆气急，甚则鼻扇,表邪入里化热，壅遏于肺，肺失宣降,君：麻黄、石膏；臣：杏仁；使：炙甘草,辛温与寒凉并用，共成辛凉之剂，宣肺而不助热，清肺而不凉遏,辨证要点：发热、喘咳、苔黄、脉数；石膏倍于麻黄
解表剂?辛凉解表,柴葛解肌汤,柴胡（6g）、干葛（9g）、甘草（3g）、黄芩（6g）、羌活（3g）、白芷（3g）、芍药（6g）、桔梗（3g）,水煎温服，加生姜三片，大枣二枚，石膏末一钱,解肌清热,外感风寒郁而化热证：恶寒渐轻，身热增盛，无汗头痛，目疼鼻干，心烦不眠,太阳风寒未解，化热入里，初犯阳明、少阳，三阳合病,君：葛根、柴胡；臣：羌活、白芷、黄芩、石膏；佐：桔梗、芍药、大枣、生姜；使：甘草,温清并用，三阳同治，表里兼顾，重在疏泄透散,辨证要点：发热重、恶寒轻、头痛、眼眶痛、鼻干、脉浮微洪
解表剂?辛凉解表,升麻葛根汤,升麻、白芍药、甘草炙各十两（各 6g）、葛根十五两（9g）,水煎服,解肌透疹,麻疹初起：疹发不出，身热头痛，咳嗽，目赤流泪，口渴,肺胃蕴热，感麻毒时疫之邪，外邪袭表，抑遏疹毒外达,君：升麻；臣：葛根；佐：芍药；使：炙甘草,辛凉与酸甘合法，主以升散清解，少佐酸敛益阴,辨证要点：疹发不出或出而不畅、舌红、脉数；麻疹已透者不宜使用
解表剂?辛凉解表,葱豉桔梗汤,鲜葱白三枚至五枚（9g）、苦桔梗一钱至钱半（5g）、焦山栀二钱至三钱（6g）、淡豆豉三钱至五钱（9g）、苏薄荷一钱至钱半（5g）、青连翘钱半至二钱（6g）、生甘草六分至八分（2g）、鲜淡竹叶三十片（3g）,水煎服,疏风清热,风温初起证：头痛身热，微恶风寒，咳嗽，咽痛，口渴,风温初起，风热侵犯肺卫，卫气被郁，肺气失宣,君：葱白、豆豉；臣：薄荷、连翘；佐：桔梗、山栀、竹叶；使：生甘草,辛凉与辛温同伍，透邪于外；清疏与清泻兼顾，导热于下,辨证要点：头痛身热、咳嗽、咽痛、口渴、脉浮数
解表剂?扶正解表,败毒散（原名人参败毒散）,柴胡去苗、甘草燃、桔梗、人参去芦、川芎、茯苓去皮、枳壳去瓤麸炒、前胡去苗洗、羌活去苗、独活去苗各三十两（各 9g）,加生姜 3g，薄荷 2g，水煎服,散寒祛湿，益气解表,气虚外感风寒湿证：憎寒壮热，头项强痛，肢体酸楚疼痛，无汗，鼻塞声重,气虚而风寒湿邪束表，痰湿内生，肺气失宣,君：羌活、独活；臣：柴胡、川芎；佐：桔梗、枳壳、前胡、茯苓、人参；使：生姜、薄荷、甘草,主辛温以解表，辅宣肃以止咳，佐益气以祛邪,辨证要点：恶寒发热、头身重痛、无汗、脉浮重按无力；可治外邪陷里之痢疾
解表剂?扶正解表,参苏饮,陈皮去白、枳壳去瓤麸炒、桔梗去芦、甘草炙、木香各半两（6g）、半夏、紫苏用叶、干葛洗、前胡去苗、人参去芦、茯苓去皮各三分（各 9g）,加生姜 7 片，大枣 1 枚，水煎温服,益气解表，理气化痰,气虚外感内有痰湿证：恶寒发热无汗，头痛鼻塞，咳嗽痰白，胸脘满闷，倦怠无力,素体气虚，内有痰湿，外感风寒，卫阳被遏，肺气郁闭,君：苏叶；臣：葛根；佐：半夏、前胡、桔梗、陈皮、木香、枳壳、茯苓、人参；使：炙甘草、生姜、大枣,散补同用，燥行合法，散不伤正，补不留邪，气顺痰消,辨证要点：恶寒发热、无汗头痛、咳痰色白、胸脘满闷、倦怠乏力、苔白脉弱
解表剂?扶正解表,再造散,黄芪（6g）、人参（3g）、桂枝（3g）、甘草（1.5g）、熟附（3g）、细辛（2g）、羌活（3g）、防风（3g）、川芎（3g）、煨生姜（3g）,加大枣 2 枚，炒白芍 3g，水煎服,助阳益气，解表散寒,阳气虚弱外感风寒表证：恶寒发热，热轻寒重，无汗肢冷，倦怠嗜卧，面色苍白,素体阳气虚弱，复感风寒，卫阳被遏，阳气虚馁，无力作汗,君：桂枝、羌活；臣：防风、细辛；佐：熟附子、黄芪、人参、川芎、白芍、煨生姜、大枣；使：甘草,辛温与甘温合法，助阳气以散表邪,辨证要点：恶寒发热、热轻寒重、无汗、肢冷倦怠、舌淡苔白、脉沉无力
解表剂?扶正解表,麻黄细辛附子汤,麻黄去节，二两（6g）、细辛二两（3g）、附子炮去皮，一枚破八片（9g）,水煎服,助阳解表,素体阳虚外感风寒表证：发热，恶寒甚剧，其寒不解，神疲欲寐，脉沉微,素体阳虚，复感风寒，卫阳被遏，邪正相争，阳气虚弱，无力鼓邪,君：麻黄；臣：附子；佐：细辛,解表与温里合法，辛温并用，助阳解表,辨证要点：恶寒重、发热轻、神疲欲寐、脉沉；阴虚火旺者禁用
解表剂?扶正解表,加减葳蕤汤,生葳蕤二钱至三钱（9g）、生葱白二枚至三枚（6g）、桔梗一钱至钱半（4.5g）、东白薇五分至一钱（3g）、淡豆豉三钱至四钱（12g）、苏薄荷一钱至钱半（4.5g）、炙草五分（1.5g）、红枣二枚,水煎服,滋阴解表,阴虚外感风热证：头痛身热，微恶风寒，无汗或有汗不多，咳嗽，心烦，口渴，咽干,素体阴虚，外感风热，卫阳被郁，肺气失宣，阴虚生内热,君：葳蕤（玉竹）、薄荷；臣：葱白、淡豆豉；佐：白薇、桔梗、大枣；使：甘草,辛凉与甘寒合法，汗不伤阴，滋不碍邪,辨证要点：身热微寒、咽干口燥、舌红、苔薄白、脉数；阳虚外感者不宜使用
解表剂?扶正解表,葱白七味饮,葱白连须切，一升（9g）、干葛切，六合（9g）、新豉绵裹，一合（6g）、生姜切，二合（6g）、生麦门冬去心，六合（9g）、干地黄六合（9g）,水煎服,养血解表,血虚外感风寒证：病后阴血亏虚，感受外邪，或失血后复感风寒，头痛身热，微寒无汗,血虚之人复感风寒，卫阳被遏，邪正相争，汗血同源，血虚则汗源不足,君：葱白、葛根；臣：干地黄、麦冬；佐：豆豉、生姜；使：劳水,发散解表与养血滋阴合法，温而不燥，汗不伤血,辨证要点：头痛身热、恶寒无汗、兼血虚或失血病史
泻下剂?寒下,大承气汤,大黄酒洗，四两（12g）、厚朴去皮炙，半斤（24g）、枳实炙，五枚（12g）、芒硝三合（9g）,水煎服，先煎枳实、厚朴，后下大黄，溶服芒硝,峻下热结,阳明腑实证；热结旁流证；里实热证见热厥、痉病、发狂者,伤寒邪传阳明腑，入里化热，与肠中燥屎结滞，腑气不通，热盛伤津,君：大黄、厚朴；臣：芒硝、枳实；佐使：无,苦辛通降与咸寒合法，泻下与行气并重，相辅相成,辨证要点：数日不大便、脘腹胀满疼痛、苔黄厚干、脉沉数有力；禁忌：年老体虚、孕妇等慎用
泻下剂?寒下,大陷胸汤,大黄去皮，六两（10g）、芒硝一升（10g）、甘遂一钱匕（1g）,水煎，溶芒硝，冲服甘遂末,泻热逐水,大结胸证：心下疼痛，拒按，按之硬，或心下至少腹硬满疼痛而痛不可近,太阳病误治，邪热内陷，水热互结，气机不通，热盛伤津,君：甘遂；臣：大黄、芒硝；佐使：无,寒下峻逐并用，前后分消，药简效宏,辨证要点：心下硬满而痛不可近、苔黄舌燥、脉沉；禁忌：素体虚弱者慎用，中病即止
泻下剂?温下,大黄附子汤,大黄三两（9g）、附子炮，三枚（12g）、细辛二两（3g）,水煎服,温里散寒，通便止痛,寒积里实证：腹痛便秘，胁下偏痛，发热，畏寒肢冷，舌苔白腻，脉弦紧,里寒积滞内结，阳气不运，阴寒凝滞，冷积内结，腑气不通,君：附子；臣：大黄；佐：细辛,苦寒辛热合法，相反相成，共成温下之法,辨证要点：腹痛便秘、手足不温、苔白腻、脉弦紧；附子用量应大于大黄
泻下剂?温下,温脾汤（《备急千金要方》）,当归、干姜各三两（各 9g）、附子、人参、芒硝各二两（各 6g）、大黄五两（15g）、甘草二两（6g）,水煎服，后下大黄,攻下冷积，温补脾阳,阳虚冷积证：便秘腹痛，脐周绞痛，手足不温，苔白不渴，脉沉弦而迟,脾阳不足，运化失常，冷积中阻，腑气不通，阳气不足，四肢失温,君：附子、大黄；臣：芒硝、干姜；佐：人参、甘草、当归；使：甘草,辛热甘温咸寒合法，寓补于攻，温下相成,辨证要点：便秘腹痛、得温则缓、倦怠少气、手足欠温、苔白脉沉弦；禁忌：孕妇慎用
泻下剂?温下,三物备急丸,大黄一两（30g）、干姜一两（30g）、巴豆去皮心熬，外研如脂，一两（30g）,为丸剂，成人每服 0.6～1.5g，米汤或温开水送下,攻下寒积,寒实腹痛：猝然心腹胀痛，痛如锥刺，气急口噤，大便不通,饮食不节，冷食积滞，阻结胃肠，或暴饮暴食后复感寒邪，气机不行,君：巴豆；臣：干姜；佐：大黄,苦寒泻下与辛热峻下合法，相反相成，共成温下峻剂,辨证要点：猝然心腹胀痛、大便不通、苔白脉沉实；禁忌：孕妇、年老体弱者慎用
泻下剂?润下,麻子仁丸（又名脾约丸）,麻子仁二升（20g）、芍药半斤（9g）、枳实炙，半斤（9g）、大黄去皮，一斤（12g）、厚朴炙去皮，一尺（9g）、杏仁去皮尖熬，别作脂，一升（10g）,药研为末，炼蜜为丸，每次 9g，日 1～2 次；或作汤剂，水煎服,润肠泄热，行气通便,脾约证：大便干结，小便频数，脘腹胀痛，舌红苔黄，脉数,肠胃燥热，脾津不足，肠道失濡，脾受约束，津液但输膀胱，肠失濡润,君：麻子仁；臣：大黄、杏仁、白芍；佐：枳实、厚朴；使：蜂蜜,泻下与润下相伍，泻而不峻，下不伤正,辨证要点：大便秘结、小便频数、脘腹胀痛、舌红苔黄脉数；禁忌：孕妇慎用
泻下剂?润下,五仁丸,桃仁、杏仁麸炒去皮尖各一两（各 15g）、松子仁一钱二分半（9g）、柏子仁半两（5g）、郁李仁炒，一钱（5g）、陈皮另研末，四两（15g）,五仁研为膏，陈皮为末，炼蜜为丸，每服 9g，日 1～2 次；或作汤剂，水煎服,润肠通便,津枯便秘：大便干燥，艰涩难出，以及年老或产后血虚便秘,素体阴虚，或年老阴亏，或产后血虚，津枯肠燥，大肠传导失司,君：杏仁；臣：桃仁；佐：柏子仁、郁李仁、松子仁、陈皮；使：蜂蜜,主以质润，润中寓行，肠肺同调,辨证要点：大便秘结、口干渴饮、舌燥少津、脉细涩；禁忌：孕妇慎用（桃仁、郁李仁活血）
泻下剂?润下,济川煎,当归三至五钱（9～15g）、牛膝二钱（6g）、肉苁蓉酒洗去咸，二至三钱（6～9g）、泽泻一钱半（4.5g）、升麻五分至七分或一钱（1.5～3g）、枳壳一钱（3g）,水煎服,温肾益精，润肠通便,肾虚便秘：大便秘结，小便清长，腰膝酸冷，舌淡苔白，脉沉迟,肾虚精亏，气化失司，津液不布，肠失濡润，传导不利，腰膝失养,君：肉苁蓉；臣：当归、牛膝；佐：枳壳、泽泻；使：升麻,寓润下于温补之中，寄升清于降浊之内，为寓通于补之剂,辨证要点：便秘、小便清长、腰膝酸冷、舌淡苔白脉虚弱；阴虚火旺者禁用
泻下剂?逐水,十枣汤,芫花熬、甘遂、大戟各等分,三药研细末，每次服 0.5～1g，大枣 10 枚煎汤送服，清晨空腹服,攻逐水饮,悬饮；水肿：一身悉肿，以身半以下为重，腹胀喘满，二便不利,水饮壅盛，停聚于里，内外泛滥，饮停胸胁，上迫于肺，气机阻滞,君：甘遂、大戟、芫花；佐使：大枣,主以峻下逐水，佐以甘缓补中,辨证要点：咳唾胸胁引痛或水肿腹胀、二便不利、脉沉弦；禁忌：孕妇忌服，只宜暂用
泻下剂?逐水,禹功散,黑牵牛头末，四两（12g）、茴香炒，一两（3g），或加木香一两（3g）,二药为散，每服 3g，生姜汁或温开水送服；或作汤剂，水煎服,逐水通便，行气消肿,阳水：遍身水肿，腹胀喘满，大便秘结，小便不利，脉沉有力,水湿壅盛泛溢，泛溢肌肤则水肿，内聚脏腑则气机阻滞，二便不通,君：牵牛子；臣：小茴香；佐：姜汁,逐水通便之中佐辛散行气之品，方简药专,辨证要点：遍身浮肿、二便不利、脉沉有力；禁忌：孕妇及年老体弱者慎用
泻下剂?攻补兼施,黄龙汤,大黄（9g）、芒硝（6g）、枳实（9g）、厚朴（9g）、甘草（3g）、人参（9g）、当归（6g）,水煎服,攻下热结，益气养血,阳明腑实，气血不足证：下利清水，色纯青，或大便秘结，脘腹胀满，腹痛拒按，身热口渴，神倦少气,阳明热结腑实，兼气血两虚，燥热内结，腑气不通，热盛伤津，气血耗伤,君：大黄；臣：芒硝；佐：枳实、厚朴、人参、当归、桔梗；使：生姜、大枣、甘草,峻下热结与补益气血并用，攻补兼施，以攻为主,辨证要点：大便秘结或自利清水、脘腹胀痛、身热口渴、神倦少气、舌苔焦黄脉虚
泻下剂?攻补兼施,增液承气汤,玄参一两（30g）、麦冬连心，八钱（24g）、细生地八钱（24g）、大黄三钱（9g）、芒硝一钱五分（4.5g）,水煎服，芒硝溶服,滋阴增液，泄热通便,阳明热结阴亏证：大便秘结，下之不通，脘腹胀满，口干唇燥，舌红苔黄，脉细数,阳明温病，热结阴亏，胃肠燥热内结，传导失司，热结津亏，肠道失濡,君：玄参；臣：麦冬、生地黄；佐：大黄、芒硝,重用甘寒，佐以苦寒，寓攻下于增水行舟之中，攻补兼施,辨证要点：燥屎不行、下之不通、口干唇燥、苔黄脉细数；禁忌：不宜久服，中病即止
和解剂?和解少阳,小柴胡汤,柴胡半斤（24g）、黄芩三两（9g）、人参三两（9g）、甘草炙，三两（9g）、半夏洗，半升（9g）、生姜切，三两（9g）、大枣擘，十二枚（4 枚）,水煎服,和解少阳,伤寒少阳证；妇人中风，热入血室；疟疾、黄疸见少阳证者,邪犯少阳，病在半表半里，正邪相争，胆火上炎，胆热犯胃，胃气上逆,君：柴胡；臣：黄芩；佐：半夏、生姜、人参、大枣；使：炙甘草,透散清泄以和解，升清降浊兼扶正,辨证要点：往来寒热、胸胁苦满、心烦喜呕、口苦咽干目眩、脉弦；禁忌：阴虚血少者禁用
和解剂?和解少阳,蒿芩清胆汤,青蒿脑钱半至二钱（4.5～6g）、淡竹茹三钱（9g）、仙半夏钱半（4.5g）、赤茯苓三钱（9g）、青子芩钱半至三钱（4.5～9g）、生枳壳钱半（4.5g）、陈广皮钱半（4.5g）、碧玉散（滑石、甘草、青黛）包，三钱（9g）,水煎服,清胆利湿，和胃化痰,少阳湿热痰浊证：寒热如疟，寒轻热重，口苦膈闷，吐酸苦水，或呕黄涎而黏,湿遏热郁，阻于少阳胆与三焦，三焦气机不畅，胆火炽盛，胆热犯胃，液郁为痰,君：青蒿、黄芩；臣：竹茹、枳壳、半夏、陈皮；佐使：赤茯苓、碧玉散,芳香清透以畅少阳之枢机，苦燥降利以化湿郁之痰浊,辨证要点：寒热如疟、寒轻热重、胸胁胀痛、吐酸苦水、舌红苔腻脉弦滑数
和解剂?和解少阳,达原饮,槟榔二钱（6g）、厚朴一钱（3g）、草果仁五分（1.5g）、知母一钱（3g）、芍药一钱（3g）、黄芩一钱（3g）、甘草五分（1.5g）,水煎服,开达膜原，辟秽化浊,瘟疫或疟疾，邪伏膜原证：憎寒壮热，发无定时，胸闷呕恶，头痛烦躁，舌苔垢腻,瘟疫秽浊毒邪伏于膜原，膜原为半表半里，邪正相争，秽浊内侵，气机阻滞,君：槟榔；臣：厚朴、草果；佐：白芍、知母、黄芩；使：甘草,苦温芳化与苦寒清热之中少佐酸甘，透达膜原而不伤阴,辨证要点：憎寒壮热、舌红苔垢腻如积粉
和解剂?调和肝脾,四逆散,甘草炙、枳实破水渍炙干、柴胡、芍药各十分（各 6g）,水煎服,透邪解郁，疏肝理脾,阳郁厥逆证；肝脾不和证：胁肋胀痛，脘腹疼痛,外邪传经入里，气机郁遏，阳气内郁，不能达于四末；或肝气郁结，疏泄失常,君：柴胡；臣：白芍；佐：枳实；使：甘草,疏柔相合，以适肝性；升降同用，肝脾并调,辨证要点：手足不温或胁肋脘腹疼痛、脉弦；阴虚寒厥者禁用
和解剂?调和肝脾,逍遥散,甘草微炙赤，半两（4.5g）、当归去苗锉微炒、茯苓去皮白者、芍药白者、白术、柴胡去苗各一两（各 9g）,加生姜 3 片，薄荷 6g，水煎服；丸剂每服 6～9g，日 2 次,疏肝解郁，养血健脾,肝郁血虚脾弱证：两胁作痛，头痛目眩，口燥咽干，神疲食少，或月经不调,肝气郁结，条达失司，肝郁血虚，郁而化火，肝木乘脾，脾胃虚弱,君：柴胡；臣：当归、白芍；佐：白术、茯苓、甘草、薄荷、生姜；使：柴胡、甘草,疏柔合法，肝脾同调，气血兼顾,辨证要点：两胁作痛、神疲食少、月经不调、脉弦而虚；阴虚火旺者慎用
和解剂?调和肝脾,痛泻要方,炒白术三两（9g）、炒芍药二两（6g）、炒陈皮两半（4.5g）、防风一两（3g）,水煎服,补脾柔肝，祛湿止泻,脾虚肝郁之痛泻：肠鸣腹痛，大便泄泻，泻必腹痛，泻后痛缓,土虚木乘，肝脾不和，脾运失常，肝失疏泄，气机失调,君：白术；臣：白芍；佐：陈皮；使：防风,补脾柔肝，寓疏于补，扶土抑木,辨证要点：肠鸣腹痛、泻必腹痛、泻后痛缓、左弦右缓；湿热泄泻者禁用
和解剂?调和寒热,半夏泻心汤,半夏洗，半升（12g）、黄芩、干姜、人参各三两（各 9g）、黄连一两（3g）、大枣擘，十二枚（4 枚）、甘草炙，三两（9g）,水煎服,寒热平调，散结除痞,寒热互结之痞证：心下痞，但满而不痛，或呕吐，肠鸣下利,小柴胡汤证误用攻下，损伤中阳，少阳邪热乘虚内陷，寒热互结，中气虚弱，升降失常,君：半夏；臣：干姜、黄芩、黄连；佐：人参、大枣；使：甘草,寒热平调以和阴阳，辛开苦降以调气机，补泻兼施以顾虚实,辨证要点：心下痞满、呕吐泻利、苔腻微黄；阴虚火旺者慎用
