类别,方剂名称,组成（原方剂量 + 现代参考量）,用法,功用,主治,证治机理,方解（君臣佐使）,配伍特点,运用（辨证要点 + 禁忌）
温里剂?温中祛寒,理中丸,人参、干姜、白术、炙甘草各三两（各 9g）,为丸剂，每服 6～9g，日 2～3 次；或作汤剂，水煎服,温中祛寒，补气健脾,脾胃虚寒证：脘腹疼痛，喜温喜按，呕吐泄泻，脘痞食少，畏寒肢冷，口淡不渴，舌淡苔白，脉沉细,脾胃虚寒，运化失常，寒邪内生，脾胃阳气不足，温煦失职，运化无力，水湿内停,君：干姜；臣：人参；佐：白术；使：炙甘草,温中与补气并用，温而不燥，补而不滞，标本兼顾，以温中为主，补气为辅,辨证要点：脘腹疼痛、喜温喜按、呕吐泄泻、畏寒肢冷、舌淡苔白脉沉细；阴虚火旺者禁用
温里剂?温中祛寒,小建中汤,桂枝去皮，三两（9g）、芍药六两（18g）、炙甘草二两（6g）、生姜切，三两（9g）、大枣擘，十二枚（6g）、饴糖一升（30g）,水煎服，饴糖烊化,温中补虚，和里缓急,中焦虚寒，肝脾不和证：脘腹拘急疼痛，喜温喜按，神疲乏力，虚怯少气；或心中悸动，虚烦不宁,中焦虚寒，肝脾不和，脾胃阳气不足，温煦失职，肝失疏泄，气机不畅，气血不足,君：饴糖；臣：桂枝、芍药；佐：生姜、大枣；使：炙甘草,温中与补虚并用，和里与缓急兼顾，辛甘化阳，酸甘化阴，阴阳双补，以温中为主,辨证要点：脘腹拘急疼痛、喜温喜按、神疲乏力、舌淡苔白脉细弦；阴虚火旺者禁用
温里剂?温中祛寒,吴茱萸汤,吴茱萸洗，一升（9g）、人参三两（9g）、生姜切，六两（18g）、大枣擘，十二枚（4 枚）,水煎服,温中补虚，降逆止呕,胃寒呕吐证；肝寒上逆证：干呕，吐涎沫，头痛（巅顶痛甚）；肾寒上逆证：呕吐下利，手足厥冷,胃寒失和，肝寒上逆，肾寒上逆，脾胃虚寒，升降失常，肝寒循经上逆，肾寒循经上逆,君：吴茱萸；臣：生姜；佐：人参；使：大枣,温中与降逆并用，补虚与散寒兼顾，标本同治，以温中降逆为主，补虚散寒为辅,辨证要点：呕吐、头痛（巅顶痛）、手足厥冷、舌淡苔白滑、脉沉弦；阴虚火旺者禁用
温里剂?温中祛寒,大建中汤,蜀椒去汗，二合（6g）、干姜四两（12g）、人参二两（6g）,水煎服，胶饴烊化,温中补虚，降逆止痛,中阳衰弱，阴寒内盛证：脘腹剧痛，连及心胸，腹中寒气上下攻冲，疼痛不可触近，呕不能食,中阳衰弱，阴寒内盛，寒邪凝滞，气机阻滞，脾胃阳气不足，温煦失职，寒邪内盛,君：干姜；臣：蜀椒；佐：人参；使：胶饴,温中与补虚并用，散寒与止痛兼顾，药性峻猛，温阳散寒之力强,辨证要点：脘腹剧痛、疼痛不可触近、呕不能食、舌苔白滑、脉沉迟；阴虚火旺者禁用
温里剂?回阳救逆,四逆汤,附子生用，去皮，破八片，一枚（15g）、干姜一两半（6g）、甘草炙，二两（6g）,水煎服，附子先煎 30～60 分钟,回阳救逆,少阴病，心肾阳衰寒厥证：四肢厥逆，恶寒蜷卧，神衰欲寐，面色苍白，腹痛下利，呕吐不渴,心肾阳衰，阴寒内盛，阳气衰微，不能温煦四肢，寒邪内盛，气机阻滞，运化失常,君：附子；臣：干姜；佐使：炙甘草,辛热峻猛，回阳救逆，温中散寒，补气温中，标本同治，以回阳为主,辨证要点：四肢厥逆、恶寒蜷卧、神衰欲寐、面色苍白、脉微细；阴虚火旺者禁用，孕妇慎用
温里剂?回阳救逆,回阳救急汤,熟附子三钱（9g）、干姜三钱（9g）、人参三钱（9g）、白术三钱（9g）、茯苓三钱（9g）、陈皮三钱（9g）、甘草二钱（6g）、五味子二钱（6g）、半夏三钱（9g）、麝香三厘（0.1g）,水煎服，麝香冲服,回阳救急，益气生脉,寒邪直中三阴，真阳衰微证：四肢厥冷，恶寒蜷卧，腹痛吐泻，神衰欲寐，或身寒战栗，唇指青紫,寒邪直中三阴，真阳衰微，阳气衰微，不能温煦四肢，寒邪内盛，气机阻滞，运化失常，气血不足,君：熟附子、干姜；臣：人参、白术、茯苓、甘草；佐：陈皮、半夏、五味子；使：麝香,回阳与益气并用，散寒与化痰兼顾，标本同治，以回阳救急为主，益气生脉为辅,辨证要点：四肢厥冷、恶寒蜷卧、腹痛吐泻、神衰欲寐、脉沉微；阴虚火旺者禁用
温里剂?温经散寒,当归四逆汤,当归三两（12g）、桂枝三两（9g）、芍药三两（9g）、细辛三两（3g）、甘草炙，二两（6g）、通草二两（6g）、大枣擘，二十五枚（12g）,水煎服,温经散寒，养血通脉,血虚寒厥证：手足厥寒，或腰、股、腿、足、肩臂疼痛，口不渴，舌淡苔白，脉沉细或细而欲绝,血虚受寒，寒凝血滞，气血不足，寒邪凝滞，经脉不畅，四肢失温，气血运行不畅,君：当归、桂枝；臣：芍药、细辛；佐：通草、大枣；使：炙甘草,温经与养血并用，散寒与通脉兼顾，标本同治，以温经散寒为主，养血通脉为辅,辨证要点：手足厥寒、肢体疼痛、舌淡苔白、脉沉细；阴虚火旺者禁用
温里剂?温经散寒,黄芪桂枝五物汤,黄芪三两（9g）、芍药三两（9g）、桂枝三两（9g）、生姜六两（12g）、大枣擘，十二枚（4 枚）,水煎服,益气温经，和血通痹,血痹，肌肤麻木不仁，脉微涩而紧,气虚血滞，感受风邪，气虚不能温煦血脉，血滞不能濡养肌肤，风邪侵袭，经脉阻滞,君：黄芪；臣：桂枝、芍药；佐：生姜、大枣；使：无,益气与温经并用，和血与通痹兼顾，标本同治，以益气为主，温经和血为辅,辨证要点：肌肤麻木不仁、脉微涩而紧；阴虚火旺者禁用
温里剂?温经散寒,暖肝煎,当归二钱（6g）、枸杞子三钱（9g）、小茴香二钱（6g）、肉桂一钱（3g）、乌药二钱（6g）、沉香一钱（3g）、茯苓二钱（6g）,水煎服,温补肝肾，行气止痛,肝肾不足，寒滞肝脉证：睾丸冷痛，或小腹疼痛，疝气痛，畏寒喜暖，舌淡苔白，脉沉迟,肝肾不足，寒滞肝脉，肝肾阳虚，温煦失职，寒邪凝滞，气机阻滞，经脉不畅,君：肉桂、小茴香；臣：当归、枸杞子；佐：乌药、沉香、茯苓；使：无,温补与行气并用，标本同治，以温补肝肾为主，行气止痛为辅,辨证要点：睾丸冷痛、畏寒喜暖、舌淡苔白、脉沉迟；阴虚火旺者禁用
清热剂?清气分热,白虎汤,石膏碎，一斤（50g）、知母六两（18g）、甘草炙，二两（6g）、粳米六合（9g）,水煎，米熟汤成，温服,清热生津,气分热盛证：壮热面赤，烦渴引饮，汗出恶热，脉洪大有力,伤寒化热内传阳明经，或温邪由卫及气，肺胃热盛，热炽伤津,君：石膏；臣：知母；佐：粳米、炙甘草；使：炙甘草,重用辛寒清气，伍以苦寒质润，少佐甘温和中，清不伤阴，寒不伤中,辨证要点：大热、大汗、大渴、脉洪大；禁忌：表不解、无汗者禁用，脉浮弦而细、脉沉者禁用
清热剂?清营凉血,清营汤,水牛角 30g（代犀角）、生地黄五钱（15g）、元参三钱（9g）、竹叶心一钱（3g）、麦冬三钱（9g）、丹参二钱（6g）、黄连一钱五分（5g）、银花三钱（9g）、连翘连心用，二钱（6g）,作汤剂，水牛角镑片先煎，后下余药,清营解毒，透热养阴,热入营分证：身热夜甚，神烦少寐，时有谵语，目常喜开或喜闭，口渴或不渴，斑疹隐隐,邪热内传营分，耗伤营阴，营气通于心，热扰心营，营热波及血分,君：水牛角；臣：生地黄、麦冬、玄参；佐：银花、连翘、竹叶、黄连、丹参；使：无,辛苦甘寒以滋养清解，透热转气以入营清散,辨证要点：身热夜甚、神烦少寐、斑疹隐隐、舌绛而干、脉数；禁忌：舌白滑者禁用
清热剂?清热解毒,黄连解毒汤,黄连三两（9g）、黄芩二两（6g）、黄柏二两（6g）、栀子十四枚（9g）,水煎服,泻火解毒,三焦火毒证：大热烦躁，口燥咽干，错语不眠；或热病吐血、衄血；或热甚发斑,三焦火毒炽盛，热扰心神，灼伤津液，迫血妄行，热毒外发肌肤，下注肠道,君：黄连；臣：黄芩、黄柏；佐使：栀子,苦寒直折，三焦并清，泻火解毒,辨证要点：大热烦躁、口燥咽干、舌红苔黄、脉数有力；脾胃虚寒者禁用，阴虚火旺者慎用
清热剂?清热解毒,凉膈散,川大黄、朴硝、甘草炙各二十两（各 60g）、山栀子仁、薄荷叶、黄芩各十两（各 30g）、连翘二斤半（125g）,水煎服，芒硝溶服,泻火通便，清上泄下,上中二焦邪郁生热证：烦躁口渴，面赤唇焦，胸膈烦热，口舌生疮，或咽痛吐衄，便秘溲赤,上中二焦邪郁生热，热聚胸膈，灼伤津液，气机不畅，热邪上炎，下移肠道,君：连翘；臣：黄芩、栀子、薄荷；佐：大黄、芒硝；使：甘草、蜂蜜,清上与泄下并行，泻热通便，清上泄下，以清上为主,辨证要点：烦躁口渴、胸膈烦热、口舌生疮、便秘溲赤、舌红苔黄脉滑数；孕妇慎用
清热剂?清脏腑热,导赤散,生地黄、木通、生甘草梢各等分（各 6g）,水煎服，加竹叶 3g,清心利水养阴,心经火热证：心胸烦热，口渴面赤，意欲饮冷，以及口舌生疮；或心热移于小肠，小便赤涩刺痛,心经火热，灼伤津液，心火下移小肠，心与小肠相表里，心火循经下移,君：生地黄；臣：木通；佐：竹叶；使：生甘草梢,清心与利水并用，滋阴与清热兼顾，使清热而不伤阴，利水而不伤正,辨证要点：心胸烦热、口舌生疮、小便赤涩刺痛、舌红脉数；脾胃虚寒者慎用
清热剂?清脏腑热,左金丸,黄连六两（18g）、吴茱萸一两（3g）,为丸剂，每服 6g，日 2 次；或作汤剂，水煎服,清泻肝火，降逆止呕,肝火犯胃证：胁肋胀痛，嘈杂吞酸，呕吐口苦，舌红苔黄，脉弦数,肝火犯胃，肝失疏泄，胃失和降，肝火旺盛，横逆犯胃,君：黄连；臣：吴茱萸；使：无,苦辛并用，寒热错杂，以苦为主，辛为佐使，肝胃同治，泻火而不凉遏，降逆而不助火,辨证要点：胁肋胀痛、嘈杂吞酸、呕吐口苦、舌红苔黄脉弦数；脾胃虚寒者禁用
清热剂?清脏腑热,泻白散,地骨皮、桑白皮炒，各一两（各 15g）、甘草炙，一钱（3g）,水煎服，加粳米 10g,清泻肺热，平喘止咳,肺热喘咳证：气喘咳嗽，皮肤蒸热，日晡尤甚，舌红苔黄，脉细数,肺热壅盛，肺失清肃，肺气上逆，肺热灼伤津液，热伏肺中，外蒸肌肤,君：桑白皮；臣：地骨皮；佐：粳米、甘草；使：甘草,清中有润，泻中有补，清泻肺热而不伤阴，润肺止咳而不恋邪,辨证要点：气喘咳嗽、皮肤蒸热、日晡尤甚、舌红苔黄脉细数；肺寒咳嗽者禁用
清热剂?清脏腑热,玉女煎,石膏三至五钱（9～15g）、熟地三至五钱或一两（9～15g 或 30g）、麦冬二钱（6g）、知母、牛膝各一钱半（各 4.5g）,水煎服,清胃热，滋肾阴,胃热阴虚证：头痛，牙痛，齿松牙衄，烦热干渴，舌红苔黄而干；亦治消渴，消谷善饥等,胃热阴虚，胃火上炎，灼伤牙龈，肾阴不足，不能上济于胃，胃热耗伤肾阴,君：石膏；臣：熟地；佐：知母、麦冬、牛膝；使：无,清胃热与滋肾阴并用，虚实兼顾，清中有补，补中有清，以清为主,辨证要点：牙痛、烦热干渴、舌红苔黄而干、脉细数；脾胃虚寒者禁用
清热剂?清脏腑热,白头翁汤,白头翁二两（15g）、黄柏三两（9g）、黄连三两（9g）、秦皮三两（9g）,水煎服,清热解毒，凉血止痢,热毒痢疾：腹痛，里急后重，肛门灼热，下痢脓血，赤多白少，渴欲饮水，舌红苔黄，脉弦数,热毒深陷血分，熏灼肠道，气血壅滞，传导失司，热毒损伤肠络，血溢脉外,君：白头翁；臣：黄连、黄柏；佐：秦皮；使：无,苦寒直折，清热解毒与凉血止痢并重，清解之中寓有收涩,辨证要点：下痢脓血、赤多白少、肛门灼热、舌红苔黄脉弦数；虚寒痢疾者禁用
清热剂?清虚热,青蒿鳖甲汤,青蒿二钱（6g）、鳖甲五钱（15g）、细生地四钱（12g）、知母二钱（6g）、丹皮三钱（9g）,水煎服,养阴透热,温病后期，邪伏阴分证：夜热早凉，热退无汗，舌红苔少，脉细数,温病后期，阴液已伤，余邪深伏阴分，阴分本虚，邪热内伏，正邪交争于阴分,君：青蒿、鳖甲；臣：生地、知母；佐：丹皮；使：无,滋中有清，清中有透，邪正兼顾，先入后出,辨证要点：夜热早凉、热退无汗、舌红少苔、脉细数；阴虚火旺者慎用
清热剂?清虚热,清骨散,银柴胡一钱五分（5g）、胡黄连、秦艽、鳖甲醋炙、地骨皮、青蒿、知母各一钱（各 3g）、甘草五分（2g）,水煎服,清虚热，退骨蒸,肝肾阴虚，虚火内扰证：骨蒸潮热，或低热日久不退，形体消瘦，唇红颧赤，困倦盗汗,肝肾阴虚，虚火内扰，阴液耗伤，虚火内生，熏蒸骨骼，外泄肌肤,君：银柴胡；臣：胡黄连、地骨皮、知母；佐：秦艽、青蒿、鳖甲；使：甘草,清虚热与滋阴并用，清退虚热为主，滋阴为辅，标本兼顾,辨证要点：骨蒸潮热、形体消瘦、盗汗、舌红少苔、脉细数；脾胃虚寒者禁用
祛暑剂?祛暑解表,香薷散,香薷一斤（12g）、白扁豆微炒、厚朴姜制，各半斤（各 6g）,水煎服，加酒少许,祛暑解表，化湿和中,阴暑：恶寒发热，头重身痛，无汗，胸闷，舌苔白腻，脉浮,夏月乘凉饮冷，外感风寒，内伤湿滞，寒邪束表，卫阳被遏，湿邪内阻，气机不畅,君：香薷；臣：厚朴；佐：白扁豆；使：酒,辛温解表与化湿和中并用，表里同治，以解表为主，化湿为辅,辨证要点：恶寒发热、头重身痛、无汗胸闷、舌苔白腻、脉浮；阳暑者禁用
祛暑剂?祛暑利湿,六一散,滑石六两（18g）、甘草一两（3g）,为散剂，每服 6～9g，日 2～3 次，温开水送服；或作汤剂，水煎服,清暑利湿,暑湿证：身热烦渴，小便不利，或泄泻；亦治痱子、湿疹，小便黄少,暑热夹湿，暑热伤津，湿阻气机，暑热内盛，灼伤津液，湿邪阻滞，膀胱气化不利,君：滑石；臣：甘草,清热与利湿并用，清暑而不伤正，利湿而不耗津，药性平和,辨证要点：身热烦渴、小便不利、舌红苔白或黄、脉滑数；阴虚火旺者慎用
温里剂?温中祛寒,理中丸,人参、干姜、白术、炙甘草各三两（各 9g）,为丸剂，每服 6～9g，日 2～3 次；或作汤剂，水煎服,温中祛寒，补气健脾,脾胃虚寒证：脘腹疼痛，喜温喜按，呕吐泄泻，脘痞食少，畏寒肢冷，口淡不渴，舌淡苔白，脉沉细,脾胃虚寒，运化失常，寒邪内生，脾胃阳气不足，温煦失职，运化无力，水湿内停,君：干姜；臣：人参；佐：白术；使：炙甘草,温中与补气并用，温而不燥，补而不滞，标本兼顾，以温中为主，补气为辅,辨证要点：脘腹疼痛、喜温喜按、呕吐泄泻、畏寒肢冷、舌淡苔白脉沉细；阴虚火旺者禁用
温里剂?温中祛寒,小建中汤,桂枝去皮，三两（9g）、芍药六两（18g）、炙甘草二两（6g）、生姜切，三两（9g）、大枣擘，十二枚（6g）、饴糖一升（30g）,水煎服，饴糖烊化,温中补虚，和里缓急,中焦虚寒，肝脾不和证：脘腹拘急疼痛，喜温喜按，神疲乏力，虚怯少气；或心中悸动，虚烦不宁,中焦虚寒，肝脾不和，脾胃阳气不足，温煦失职，肝失疏泄，气机不畅，气血不足,君：饴糖；臣：桂枝、芍药；佐：生姜、大枣；使：炙甘草,温中与补虚并用，和里与缓急兼顾，辛甘化阳，酸甘化阴，阴阳双补，以温中为主,辨证要点：脘腹拘急疼痛、喜温喜按、神疲乏力、舌淡苔白脉细弦；阴虚火旺者禁用
温里剂?回阳救逆,四逆汤,附子生用，去皮，破八片，一枚（15g）、干姜一两半（6g）、甘草炙，二两（6g）,水煎服，附子先煎 30～60 分钟,回阳救逆,少阴病，心肾阳衰寒厥证：四肢厥逆，恶寒蜷卧，神衰欲寐，面色苍白，腹痛下利，呕吐不渴,心肾阳衰，阴寒内盛，阳气衰微，不能温煦四肢，寒邪内盛，气机阻滞，运化失常,君：附子；臣：干姜；佐使：炙甘草,辛热峻猛，回阳救逆，温中散寒，补气温中，标本同治，以回阳为主,辨证要点：四肢厥逆、恶寒蜷卧、神衰欲寐、面色苍白、脉微细；阴虚火旺者禁用，孕妇慎用
温里剂?温经散寒,当归四逆汤,当归三两（12g）、桂枝三两（9g）、芍药三两（9g）、细辛三两（3g）、甘草炙，二两（6g）、通草二两（6g）、大枣擘，二十五枚（12g）,水煎服,温经散寒，养血通脉,血虚寒厥证：手足厥寒，或腰、股、腿、足、肩臂疼痛，口不渴，舌淡苔白，脉沉细或细而欲绝,血虚受寒，寒凝血滞，气血不足，寒邪凝滞，经脉不畅，四肢失温，气血运行不畅,君：当归、桂枝；臣：芍药、细辛；佐：通草、大枣；使：炙甘草,温经与养血并用，散寒与通脉兼顾，标本同治，以温经散寒为主，养血通脉为辅,辨证要点：手足厥寒、肢体疼痛、舌淡苔白、脉沉细；阴虚火旺者禁用
表里双解剂?解表攻里,大柴胡汤,柴胡半斤（24g）、黄芩三两（9g）、芍药三两（9g）、半夏洗，半升（9g）、生姜五两（15g）、枳实炙，四枚（12g）、大枣擘，十二枚、大黄二两（6g）,水煎服，大黄后下,和解少阳，内泻热结,少阳阳明合病：往来寒热，胸胁苦满，呕不止，郁郁微烦，心下痞硬，大便秘结，舌苔黄，脉弦数有力,少阳邪未解，阳明热已结，少阳枢机不利，阳明腑气不通,君：柴胡、大黄；臣：黄芩、枳实；佐：芍药、半夏、生姜、大枣；使：无,和解少阳兼泻阳明，表里双解，以和解为主,辨证要点：往来寒热、胸胁满、呕不止、便秘；纯少阳证、纯里虚者不宜
表里双解剂?解表攻里,防风通圣散,防风、荆芥、连翘、麻黄、薄荷、川芎、当归、白芍、白术、山栀、大黄、芒硝、石膏、黄芩、桔梗、甘草、滑石各适量,为散，每服 6g；或作汤剂,疏风解表，泻热通便,风热壅盛，表里俱实：憎寒壮热，头目昏眩，目赤口苦，咽喉不利，涕唾稠黏，大便秘结，小便赤涩,外感风邪，内有蕴热，表里俱实，三焦壅滞,君：防风、麻黄、薄荷、荆芥；大黄、芒硝；臣：石膏、黄芩、连翘、栀子；佐：桔梗、当归、白芍、川芎、白术、滑石；使：甘草,汗、清、下三法并用，表里双解，上下分消,辨证要点：寒热俱重、便秘尿赤、苔黄腻；体虚便溏者禁用
表里双解剂?解表清里,葛根黄芩黄连汤,葛根半斤（15g）、炙甘草二两（6g）、黄芩三两（9g）、黄连三两（9g）,水煎服,解表清里,协热下利：身热下利，胸脘烦热，口干作渴，喘而汗出，舌红苔黄，脉数,表证未解，邪热入里，下迫大肠，肠热下利,君：葛根；臣：黄芩、黄连；佐使：炙甘草,外解肌表，内清肠热，表里同治,辨证要点：身热、下利臭秽、苔黄脉数；虚寒下利禁用
表里双解剂?解表温里,五积散,苍术、桔梗、枳壳、陈皮、芍药、白芷、川芎、当归、甘草、肉桂、茯苓、半夏、厚朴、干姜、麻黄各等分,加生姜，水煎服,发表温里，顺气化痰，活血消积,外感风寒，内伤生冷：身热无汗，头痛身痛，项背拘急，胸满恶食，呕吐腹痛；妇女血气不和，心腹疼痛，月经不调,寒、湿、气、血、痰五积郁滞，表里同病,君：麻黄、白芷；干姜、肉桂；臣：苍术、厚朴；半夏、茯苓；佐：陈皮、枳壳；当归、川芎、芍药；使：甘草,温散表里，兼调气血痰食，一方治五积,辨证要点：无汗身痛、胸腹胀满、苔白腻；阴虚内热者忌用
表里双解剂?解表攻里,厚朴七物汤,厚朴半斤（24g）、甘草三两（9g）、大黄三两（9g）、大枣十枚、枳实五枚、桂枝二两（6g）、生姜五两（15g）,水煎服,解肌发表，行气通便,太阳阳明合病：发热，腹满痛，大便不通，脉浮而数,表有风寒，里有腑实，表里同病,君：桂枝、大黄；臣：厚朴、枳实；佐：生姜、大枣；使：甘草,解表通腑并行，表里双解，以通腑为主,辨证要点：发热、腹满痛、便秘；里虚者禁用
补益剂?补气,四君子汤,人参、白术、茯苓各三两（各 9g）、炙甘草二两（6g）,水煎服,益气健脾,脾胃气虚证：面色萎白，语声低微，气短乏力，食少便溏，舌淡苔白，脉虚弱,脾胃气虚，运化无力，气血生化不足,君：人参；臣：白术；佐：茯苓；使：炙甘草,甘温益气，健脾渗湿，补而不滞,辨证要点：气短乏力、食少便溏、舌淡脉弱；阴虚火旺者慎用
补益剂?补气,参苓白术散,人参、白术、白茯苓、山药、白扁豆、莲子、薏苡仁、缩砂仁、桔梗、甘草各适量,为散，每服 6g；或作汤剂,益气健脾，渗湿止泻,脾虚湿盛证：饮食不化，胸脘痞闷，肠鸣泄泻，四肢乏力，形体消瘦，面色萎黄，舌淡苔白腻，脉虚缓,脾虚失运，湿浊内生，清浊不分,君：人参、白术、茯苓；臣：山药、莲子、扁豆、苡仁；佐：砂仁、桔梗；使：甘草,补气健脾与渗湿止泻同用，培土生金,辨证要点：泄泻、乏力、苔白腻；湿热泄泻禁用
补益剂?补气,补中益气汤,黄芪、炙甘草、人参、当归、橘皮、升麻、柴胡、白术各适量,水煎服,补中益气，升阳举陷,①脾虚气陷证；②气虚发热证：身热自汗，渴喜热饮，气短乏力，舌淡，脉虚大无力,中气不足，清阳下陷，气虚发热,君：黄芪；臣：人参、白术；佐：当归、陈皮、升麻、柴胡；使：炙甘草,补中益气，升阳举陷，甘温除热,辨证要点：体倦乏力、脏器下垂、脉虚；阴虚火旺、实证发热禁用
补益剂?补气,生脉散,人参五分（9g）、麦门冬五分（9g）、五味子七粒（6g）,水煎服,益气生津，敛阴止汗,①暑热耗气伤阴；②久咳肺虚，气阴两虚,暑热或久咳耗伤气阴，津气两虚,君：人参；臣：麦冬；佐：五味子,益气、生津、敛阴，补敛并施,辨证要点：汗多、气短、口干、脉虚；暑病夹湿、咳嗽痰多者慎用
补益剂?补气,玉屏风散,防风一两（6g）、黄芪蜜炙，二两（12g）、白术二两（12g）,为散，每服 6g；或作汤剂,益气固表止汗,表虚自汗：汗出恶风，面色?白，舌淡苔薄白，脉浮虚；亦治虚人易感风邪,卫气虚弱，腠理不固，易感外邪,君：黄芪；臣：白术；佐：防风,益气固表，补中兼散，散不伤正,辨证要点：自汗恶风、易感风邪；外感自汗、阴虚盗汗禁用
补益剂?补气,完带汤,白术、山药、人参、白芍、车前子、苍术、甘草、陈皮、黑芥穗、柴胡各适量,水煎服,补脾疏肝，化湿止带,脾虚肝郁，湿浊带下：带下色白，清稀如涕，面色?白，倦怠便溏，舌淡苔白，脉缓或濡弱,脾虚不运，肝郁不舒，湿浊下注带脉,君：白术、山药；臣：人参、白芍；佐：苍术、车前子、陈皮、芥穗、柴胡；使：甘草,补脾疏肝，化湿止带，寓补于散,辨证要点：带下清稀色白、体倦便溏；湿热带下禁用
补益剂?补血,四物汤,当归、川芎、白芍、熟干地黄各等分（各 9g）,水煎服,补血和血,营血虚滞证：头晕目眩，心悸失眠，面色无华，月经不调，量少或经闭，脐腹作痛，舌淡，脉细弦或细涩,营血亏虚，血行不畅，冲任虚损,君：熟地；臣：当归；佐：白芍；使：川芎,补血而不滞血，行血而不伤血,辨证要点：面色无华、心悸、舌淡脉细；阴虚发热、血崩气脱者慎用
补益剂?补血,当归补血汤,黄芪一两（30g）、当归二钱（6g）,水煎服,补气生血,血虚阳浮发热：肌热面红，烦渴欲饮，脉洪大而虚，重按无力；亦治产后、疮疡后血虚发热,血虚气弱，阳气浮越，有形之血不能速生，无形之气所当急固,君：黄芪；臣：当归,重用补气以生血，阳生阴长,辨证要点：肌热烦渴、脉洪大而虚；外感发热、阴虚内热禁用
补益剂?补血,归脾汤,白术、当归、白茯苓、黄芪、远志、龙眼肉、酸枣仁、人参、木香、炙甘草、生姜、大枣各适量,水煎服,益气补血，健脾养心,①心脾气血两虚证；②脾不统血证：便血，紫癜，崩漏，月经超前量多,思虑过度，心脾两虚，气血不足，脾不统血,君：黄芪、人参；臣：当归、龙眼肉、酸枣仁、远志；佐：白术、茯苓、木香；使：甘草、姜枣,心脾同治，气血并补，补气以摄血,辨证要点：心悸失眠、体倦食少、便血崩漏；有痰湿、瘀血者慎用
