类别,方剂名称,组成（原方剂量 + 现代参考量）,用法,功用,主治,证治机理,方解（君臣佐使）,配伍特点,运用（辨证要点 + 禁忌）
解表剂?辛温解表,桂枝汤,桂枝、芍药、生姜、大枣、炙甘草,水煎温服,解肌发表，调和营卫,外感风寒表虚证：头痛发热，汗出恶风，鼻鸣干呕，苔白，脉浮缓,风寒袭表，营卫不和,君：桂枝；臣：芍药；佐：生姜、大枣；使：炙甘草,桂芍等量，一散一收，调和营卫,要点：汗出恶风、脉浮缓；无汗表实、温病初起禁用
解表剂?辛温解表,九味羌活汤,羌活、防风、苍术、细辛、川芎、白芷、生地、黄芩、甘草,水煎服,发汗祛湿，兼清里热,外感风寒湿邪，内有蕴热：恶寒发热，无汗头痛，肢体酸楚，口苦微渴,风寒湿束表，里有郁热,君：羌活；臣：防风、苍术；佐：细辛、川芎、白芷、生地、黄芩；使：甘草,发汗祛湿，兼清里热，分经论治,要点：恶寒发热、肢体酸痛、口苦微渴
解表剂?辛温解表,香苏散,香附、紫苏叶、陈皮、炙甘草,水煎服,疏散风寒，理气和中,外感风寒，气郁不舒：恶寒发热，头痛无汗，胸脘痞闷，不思饮食,风寒束表，气机郁滞,君：紫苏叶；臣：香附；佐：陈皮；使：炙甘草,解表兼理气，理气以助解表,要点：恶寒发热、胸脘痞闷
解表剂?辛温解表,小青龙汤,麻黄、芍药、细辛、干姜、炙甘草、桂枝、半夏、五味子,水煎服,解表散寒，温肺化饮,外寒里饮证：恶寒发热，无汗，喘咳，痰多清稀，胸痞，或身体疼重,风寒束表，水饮内停，肺失宣降,君：麻黄、桂枝；臣：干姜、细辛；佐：半夏、五味子、芍药；使：炙甘草,解表化饮，散收并用,要点：恶寒发热、喘咳痰稀；肺热燥咳禁用
解表剂?辛凉解表,银翘散,金银花、连翘、薄荷、牛蒡子、淡豆豉、荆芥穗、淡竹叶、芦根、桔梗、甘草,水煎服,辛凉透表，清热解毒,温病初起：发热无汗，或有汗不畅，微恶风寒，头痛口渴，咳嗽咽痛,温邪袭表，肺卫失宣,君：银花、连翘；臣：薄荷、牛蒡子、豆豉、荆芥；佐：竹叶、芦根、桔梗；使：甘草,辛凉透表，清热解毒，芳香辟秽,要点：发热咽痛、微恶风；风寒感冒禁用
解表剂?辛凉解表,桑菊饮,桑叶、菊花、杏仁、连翘、薄荷、桔梗、甘草、芦根,水煎服,疏风清热，宣肺止咳,风温初起，表热轻证：咳嗽，身热不甚，口微渴，脉浮数,风热犯肺，肺失清肃,君：桑叶、菊花；臣：薄荷、杏仁、桔梗；佐：连翘、芦根；使：甘草,疏风清热，重在宣肺止咳,要点：咳嗽、微热口渴
解表剂?辛凉解表,麻杏甘石汤,麻黄、杏仁、炙甘草、石膏,水煎服,辛凉疏表，清肺平喘,外感风邪，邪热壅肺：身热不解，咳逆气急，鼻煽，口渴，有汗或无汗,风热袭肺，或风寒化热，壅遏于肺,君：麻黄、石膏；臣：杏仁；佐使：炙甘草,辛凉宣泄，清肺平喘，麻黄配石膏一清一宣,要点：身热咳喘、苔黄脉数；风寒咳喘禁用
解表剂?扶正解表,败毒散,柴胡、前胡、川芎、枳壳、羌活、独活、茯苓、桔梗、人参、甘草、生姜、薄荷,水煎服,散寒祛湿，益气解表,气虚外感风寒湿：憎寒壮热，头项强痛，肢体酸痛，无汗，鼻塞声重，咳嗽有痰,气虚之人，风寒湿邪束表,君：羌活、独活；臣：柴胡、川芎；佐：前胡、枳壳、茯苓、桔梗、人参；使：甘草、薄荷,解表祛湿，益气扶正，扶正以祛邪,要点：憎寒壮热、肢体酸痛、气虚体弱
解表剂?扶正解表,参苏饮,人参、紫苏叶、葛根、半夏、前胡、茯苓、枳壳、桔梗、木香、陈皮、甘草、姜枣,水煎服,益气解表，理气化痰,气虚外感风寒，内有痰湿：恶寒发热，无汗头痛，咳嗽痰多，胸脘满闷,气虚外感，痰湿内阻，肺气失宣,君：紫苏叶；臣：葛根、人参；佐：夏、前、苓、桔、枳、木、陈；使：草、姜枣,益气解表，理气化痰，补而不滞,要点：恶寒发热、咳嗽痰多、气虚
解表剂?扶正解表,麻黄附子细辛汤,麻黄、附子、细辛,水煎服,助阳解表,素体阳虚，外感风寒：发热，恶寒甚，神疲欲寐，脉沉微,阳虚外感，风寒束表，阳气不能外达,君：麻黄；臣：附子；佐：细辛,助阳散寒，表里双解,要点：恶寒发热、神疲脉沉；阴虚阳亢禁用
泻下剂?寒下,大承气汤,大黄、厚朴、枳实、芒硝,水煎，大黄后下,峻下热结,阳明腑实证：大便不通，脘腹痞满胀痛，高热谵语，苔黄燥起刺，脉沉实,阳明热盛，燥屎内结，腑气不通,君：大黄；臣：芒硝；佐：厚朴、枳实,峻下热结，攻积导滞，痞满燥实同治,要点：痞满燥实、苔黄脉实；孕妇、年老体虚禁用
泻下剂?寒下,小承气汤,大黄、厚朴、枳实,水煎服,轻下热结,阳明腑实轻证：谵语，潮热，大便硬，腹微满，苔黄脉滑,阳明热结，腑气不畅，燥结较轻,君：大黄；臣：厚朴、枳实,轻下热结，无芒硝，力缓,要点：腹微满、大便硬
泻下剂?寒下,调胃承气汤,大黄、芒硝、甘草,水煎服,缓下热结,阳明腑实证：蒸蒸发热，大便不通，口渴心烦，苔黄脉滑数,阳明燥热内结，腑气不和,君：大黄、芒硝；佐使：甘草,缓下热结，润燥软坚，和中护胃,要点：发热便秘、口渴心烦
泻下剂?温下,大黄附子汤,大黄、附子、细辛,水煎服,温阳散寒，通便止痛,寒积里实证：胁下偏痛，发热，手足厥冷，大便不通，脉弦紧,寒邪内积，阳气不通，腑气闭阻,君：附子；臣：大黄；佐：细辛,温下寒积，散寒通便,要点：胁腹冷痛、大便不通、肢冷；虚寒禁用
泻下剂?温下,温脾汤,大黄、当归、干姜、附子、人参、芒硝、甘草,水煎服,攻下冷积，温补脾阳,阳虚寒积证：腹痛便秘，脐下绞结，绕脐不止，手足不温，苔白脉沉弦,脾阳不足，寒积内停，腑气不通,君：附子、干姜；臣：大黄、芒硝；佐：人参、当归；使：甘草,温补脾阳，攻下冷积，温攻兼施,要点：腹痛便秘、手足不温；热结禁用
泻下剂?润下,麻子仁丸,麻子仁、芍药、枳实、大黄、厚朴、杏仁,为丸服,润肠泄热，行气通便,胃肠燥热，脾约便秘证：大便干结，小便频数，腹胀,胃肠燥热，脾津不足，肠失濡润,君：麻子仁；臣：杏仁、芍药；佐：大黄、枳实、厚朴,润肠通便，兼泄热行气,要点：大便干结、小便频数；年老血虚慎用
泻下剂?润下,济川煎,当归、牛膝、肉苁蓉、泽泻、升麻、枳壳,水煎服,温肾益精，润肠通便,肾阳虚弱，精津不足：大便秘结，小便清长，腰膝酸软，头晕目眩,肾虚精亏，肠失濡养，传导无力,君：肉苁蓉；臣：当归、牛膝；佐：枳壳、泽泻、升麻,温润通便，升清降浊,要点：便秘、腰膝酸软、小便清长；热结禁用
泻下剂?逐水,十枣汤,芫花、甘遂、大戟、大枣,为散，枣汤送服,攻逐水饮,悬饮：咳唾胸胁引痛，心下痞硬，干呕短气；水肿腹胀实证,水饮壅盛，停于胸胁，泛溢肌肤,君：甘遂；臣：大戟、芫花；佐：大枣,峻逐水饮，大枣顾护胃气,要点：胸胁引痛、水肿腹胀；体虚、孕妇禁用
泻下剂?攻补兼施,黄龙汤,大黄、芒硝、枳实、厚朴、当归、人参、甘草、桔梗、生姜、大枣,水煎服,攻下通便，补气养血,阳明腑实，气血不足：大便秘结，脘腹胀满，身热口渴，神倦少气,腑实内结，气血亏虚，邪实正虚,君：大黄、芒硝；臣：枳实、厚朴；佐：人参、当归、桔梗；使：草、姜枣,攻补兼施，攻下不伤正,要点：便秘腹胀、神倦少气；纯实证禁用
和解剂?和解少阳,小柴胡汤,柴胡、黄芩、人参、半夏、炙甘草、生姜、大枣,水煎服,和解少阳,伤寒少阳证：往来寒热，胸胁苦满，默默不欲饮食，心烦喜呕，口苦咽干目眩,邪犯少阳，胆火上炎，气机郁滞,君：柴胡；臣：黄芩；佐：半夏、人参、生姜；使：甘草、大枣,和解少阳，扶正祛邪，和胃降逆,要点：往来寒热、胸胁苦满；阴虚血少慎用
和解剂?和解少阳,大柴胡汤,柴胡、黄芩、芍药、半夏、生姜、枳实、大枣、大黄,水煎服,和解少阳，内泻热结,少阳阳明合病：往来寒热，胸胁苦满，呕不止，郁郁微烦，心下痞硬，大便秘结,少阳未解，阳明热结，腑气不通,君：柴胡、大黄；臣：黄芩、枳实；佐：芍药、半夏、生姜；使：大枣,和解少阳，通腑泻热，表里双解,要点：往来寒热、便秘呕不止；纯少阳禁用
和解剂?调和肝脾,四逆散,柴胡、芍药、枳实、炙甘草,水煎服,透邪解郁，疏肝理脾,阳郁厥逆证：手足不温，或咳，或悸，或小便不利；肝脾不和证,阳气内郁，气机不畅，肝脾不和,君：柴胡；臣：芍药；佐：枳实；使：炙甘草,疏肝理脾，透邪解郁，气血并调,要点：手足不温、胁肋胀痛
和解剂?调和肝脾,逍遥散,柴胡、当归、白芍、白术、茯苓、炙甘草、薄荷、烧生姜,水煎服,疏肝解郁，养血健脾,肝郁血虚脾弱证：两胁作痛，头痛目眩，口燥咽干，神疲食少，月经不调,肝郁气滞，血虚脾弱，气血失调,君：柴胡；臣：当归、白芍；佐：白术、茯苓、薄荷、生姜；使：炙甘草,疏肝养血，健脾和中，肝脾同治,要点：胁痛、月经不调、神疲食少
和解剂?调和肝脾,痛泻要方,白术、白芍、陈皮、防风,水煎服,补脾柔肝，祛湿止泻,脾虚肝旺之痛泻：肠鸣腹痛，大便泄泻，泻必腹痛，泻后痛缓,脾虚湿盛，肝木乘脾，运化失常,君：白术；臣：白芍；佐：陈皮、防风,补脾柔肝，祛湿止泻，防风散肝舒脾,要点：腹痛泄泻、泻后痛缓
和解剂?调和肠胃,半夏泻心汤,半夏、黄芩、干姜、人参、黄连、大枣、炙甘草,水煎服,寒热平调，消痞散结,寒热错杂之痞证：心下痞，但满而不痛，呕吐，肠鸣下利,中焦虚寒，胃有郁热，气机痞塞,君：半夏；臣：干姜、黄芩、黄连；佐：人参、大枣；使：炙甘草,辛开苦降，寒热并用，补泻兼施,要点：心下痞满、呕吐下利；食积气滞慎用
和解剂?调和肠胃,生姜泻心汤,生姜、甘草、人参、干姜、黄芩、半夏、黄连、大枣,水煎服,和胃消痞，散结利水,水热互结痞证：心下痞硬，干噫食臭，腹中雷鸣，下利,胃虚食滞，水饮内停，寒热错杂,君：生姜、半夏；臣：芩、连、干姜；佐：人参、大枣；使：甘草,重在散水饮，和胃降逆,要点：痞硬、干噫食臭、下利
和解剂?调和肠胃,甘草泻心汤,甘草、黄芩、干姜、半夏、大枣、黄连、人参,水煎服,益气和胃，消痞止利,胃气虚弱，寒热错杂：心下痞硬而满，干呕心烦，肠鸣下利频作,胃气大虚，邪热内陷，寒热错杂,君：甘草；臣：半夏、芩、连、干姜；佐：人参、大枣,重用甘草，益气补中，消痞止利,要点：痞满、干呕心烦、下利频作
和解剂?表里双解,葛根黄芩黄连汤,葛根、炙甘草、黄芩、黄连,水煎服,解表清里,协热下利：身热下利，胸脘烦热，口干作渴，喘而汗出,表证未解，邪热入里，下迫大肠,君：葛根；臣：黄芩、黄连；佐使：炙甘草,外解肌表，内清肠热，表里同治,要点：身热下利、苔黄脉数；虚寒下利禁用
和解剂?表里双解,防风通圣散,防风、荆芥、连翘、麻黄、薄荷、川芎、当归、白芍、白术、山栀、大黄、芒硝、石膏、黄芩、桔梗、甘草、滑石,为散或汤,疏风解表，泻热通便,风热壅盛，表里俱实：憎寒壮热，头目昏眩，目赤口苦，咽喉不利，便秘尿赤,风热束表，里热炽盛，三焦壅滞,君：防风、麻黄、荆芥、薄荷、大黄、芒硝；臣：石膏、黄芩、连翘、栀子；佐：归、芍、术、滑石、桔梗；使：甘草,汗、清、下并用，表里双解,要点：寒热俱重、便秘尿赤；体虚便溏禁用
清热剂?清气分热,白虎汤,石膏、知母、甘草、粳米,水煎服,清热生津,阳明气分热盛证：壮热面赤，烦渴引饮，汗出恶热，脉洪大有力,气分热盛，津液耗伤,君：石膏；臣：知母；佐：粳米、甘草；使：甘草,清热生津，辛寒清气，甘润护胃,要点：壮热、烦渴、汗出、脉洪大；表证未解、血虚发热禁用
清热剂?清气分热,竹叶石膏汤,竹叶、石膏、半夏、麦冬、人参、甘草、粳米,水煎服,清热生津，益气和胃,伤寒、温病、暑病余热未清，气阴两伤证：身热多汗，心胸烦闷，气逆欲呕，口干喜饮,余热未清，气阴两伤，胃失和降,君：石膏、竹叶；臣：麦冬、人参；佐：半夏、粳米；使：甘草,清热兼益气养阴，和胃降逆,要点：身热多汗、气逆欲呕、口干；阳虚发热禁用
清热剂?清营凉血,清营汤,犀角（水牛角代）、生地、元参、竹叶心、麦冬、丹参、黄连、银花、连翘,水煎服,清营解毒，透热养阴,热入营分证：身热夜甚，神烦少寐，时有谵语，斑疹隐隐，舌绛而干，脉细数,热邪入营，耗伤营阴，扰及心神,君：水牛角；臣：生地、玄参、麦冬；佐：黄连、银花、连翘、竹叶、丹参,清营透热，养阴活血，透热转气,要点：身热夜甚、斑疹隐隐、舌绛；湿温痰热慎用
清热剂?清营凉血,犀角地黄汤,犀角（水牛角代）、生地、芍药、丹皮,水煎服,清热解毒，凉血散瘀,热入血分证：身热谵语，斑色紫黑，吐血衄血，便血，尿血,热入血分，迫血妄行，瘀热互结,君：水牛角；臣：生地；佐：芍药、丹皮,凉血兼散瘀，止血不留瘀,要点：出血、斑色紫黑、舌绛；阳虚失血禁用
清热剂?清热解毒,黄连解毒汤,黄连、黄芩、黄柏、栀子,水煎服,泻火解毒,三焦火毒证：大热烦躁，口燥咽干，错语不眠；热病吐血衄血；湿热黄疸；外科痈疡疔毒,火毒充斥三焦，气血两燔,君：黄连；臣：黄芩、黄柏；佐：栀子,苦寒直折，泻火解毒，上下同治,要点：大热烦躁、口燥咽干、舌红苔黄；阴虚火旺慎用
清热剂?清热解毒,普济消毒饮,黄芩、黄连、陈皮、甘草、玄参、柴胡、桔梗、连翘、板蓝根、马勃、牛蒡子、薄荷、僵蚕、升麻,水煎服,清热解毒，疏风散邪,大头瘟：恶寒发热，头面红肿焮痛，目不能开，咽喉不利,风热疫毒，上攻头面，壅滞经络,君：黄芩、黄连；臣：连翘、牛蒡子、薄荷、僵蚕；佐：玄参、马勃、板蓝根、桔梗、柴胡、升麻、陈皮；使：甘草,清热解毒，疏风散邪，升阳散火,要点：头面红肿焮痛、恶寒发热；阴虚火炎慎用
清热剂?清热解毒,凉膈散,大黄、朴硝、甘草、山栀、薄荷、黄芩、连翘,水煎服,泻火通便，清上泄下,上中二焦邪郁生热证：面赤唇焦，胸膈烦热，口舌生疮，便秘溲赤,热聚胸膈，腑气不通，上焦热盛,君：连翘；臣：黄芩、薄荷、栀子；佐：大黄、朴硝；使：甘草,以泻代清，清上泄下，泻火通便,要点：胸膈烦热、便秘溲赤；脾胃虚寒慎用
清热剂?清热解毒,仙方活命饮,金银花、当归尾、赤芍、乳香、没药、陈皮、防风、白芷、贝母、天花粉、穿山甲、皂角刺、甘草,水煎服,清热解毒，消肿溃坚，活血止痛,阳证痈疡肿毒初起：红肿焮痛，身热凛寒，苔薄白或黄，脉数有力,热毒壅聚，气滞血瘀痰凝,君：金银花；臣：归尾、赤芍、乳香、没药；佐：防风、白芷、陈皮、贝母、花粉、山甲、皂刺；使：甘草,清热解毒，活血消肿，溃坚排脓,要点：红肿焮痛、阳证初起；阴疽忌用
清热剂?清脏腑热,导赤散,生地黄、木通、生甘草梢、竹叶,水煎服,清心利水养阴,心经火热证：心胸烦热，口渴面赤，口舌生疮；心热移于小肠，小便赤涩刺痛,心经热盛，下移小肠，水液不利,君：生地；臣：木通；佐：竹叶；使：甘草梢,清心利水，养阴不伤正,要点：口舌生疮、小便赤涩；阴虚火旺慎用
清热剂?清脏腑热,龙胆泻肝汤,龙胆草、黄芩、栀子、泽泻、木通、车前子、当归、生地、柴胡、甘草,水煎服,清泻肝胆实火，清利肝经湿热,肝胆实火上炎证：头痛目赤，胁痛口苦，耳聋耳肿；肝经湿热下注证：阴肿阴痒，小便淋浊，带下黄臭,肝胆火盛，湿热下注,君：龙胆草；臣：黄芩、栀子；佐：泽泻、木通、车前子、当归、生地、柴胡；使：甘草,泻肝火，利湿热，养阴血，疏肝气,要点：胁痛口苦、带下黄臭；脾胃虚寒慎用
清热剂?清脏腑热,左金丸,黄连、吴茱萸（6:1）,为丸服,清肝泻火，降逆止呕,肝火犯胃证：胁肋疼痛，嘈杂吞酸，呕吐口苦，舌红苔黄，脉弦数,肝郁化火，横逆犯胃，胃失和降,君：黄连；臣：吴茱萸,辛开苦降，清肝和胃，寒热并用,要点：吞酸呕吐、胁痛口苦；胃寒呕吐禁用
清热剂?清脏腑热,泻白散,地骨皮、桑白皮、甘草、粳米,水煎服,清泻肺热，平喘止咳,肺热喘咳证：气喘咳嗽，皮肤蒸热，日晡尤甚，舌红苔黄，脉细数,肺有伏火郁热，肺失清肃,君：桑白皮；臣：地骨皮；佐：粳米、甘草；使：甘草,清泻肺热，养胃和中，清润不寒,要点：气喘咳嗽、皮肤蒸热；风寒喘咳禁用
清热剂?清脏腑热,苇茎汤,苇茎、薏苡仁、瓜瓣、桃仁,水煎服,清肺化痰，逐瘀排脓,肺痈，热毒壅滞，痰瘀互结证：身有微热，咳嗽痰多，甚则咳吐腥臭脓血，胸中隐隐作痛,热毒痰瘀，壅滞于肺，蓄结成痈,君：苇茎；臣：薏苡仁、瓜瓣；佐：桃仁,清肺化痰，逐瘀排脓，滑利通窍,要点：咳吐腥臭脓血、胸中隐痛
清热剂?清脏腑热,清胃散,生地、当归、丹皮、黄连、升麻,水煎服,清胃凉血,胃火牙痛：牙痛牵引头痛，面颊发热，牙龈红肿溃烂，口气热臭，口干舌燥,胃有积热，循经上攻，伤及血分,君：黄连；臣：升麻；佐：生地、丹皮、当归,清胃凉血，升散郁火,要点：牙痛口臭、牙龈红肿；肾虚牙痛慎用
清热剂?清脏腑热,玉女煎,石膏、熟地、麦冬、知母、牛膝,水煎服,清胃热，滋肾阴,胃热阴虚证：头痛，牙痛，齿松牙衄，烦热干渴，舌红苔黄而干,胃热阴虚，虚火上炎,君：石膏；臣：熟地、知母、麦冬；佐：牛膝,清胃滋肾，水火并调，引火下行,要点：牙痛齿松、烦热干渴；脾胃虚寒慎用
清热剂?清脏腑热,芍药汤,芍药、当归、黄连、槟榔、木香、甘草、大黄、黄芩、官桂,水煎服,清热燥湿，调气和血,湿热痢疾：腹痛，便脓血，赤白相兼，里急后重，肛门灼热，小便短赤,湿热壅滞肠中，气血瘀滞,君：芍药；臣：黄连、黄芩；佐：当归、木香、槟榔、大黄、官桂；使：甘草,清热燥湿，调气和血，通因通用,要点：便脓血、里急后重；寒湿痢疾禁用
清热剂?清脏腑热,白头翁汤,白头翁、黄柏、黄连、秦皮,水煎服,清热解毒，凉血止痢,热毒痢疾：腹痛，里急后重，肛门灼热，下痢脓血，赤多白少，渴欲饮水,热毒深陷血分，壅滞大肠,君：白头翁；臣：黄连、黄柏；佐：秦皮,清热解毒，凉血止痢，专清血分热毒,要点：下痢赤多白少、里急后重；虚寒痢疾禁用
清热剂?清虚热,青蒿鳖甲汤,青蒿、鳖甲、生地、知母、丹皮,水煎服,养阴透热,温病后期，邪伏阴分证：夜热早凉，热退无汗，舌红少苔，脉细数,温病后期，余热未清，阴液耗伤,君：鳖甲、青蒿；臣：生地、知母；佐：丹皮,养阴透热，入阴搜邪，透热外出,要点：夜热早凉、舌红少苔；阴虚风动慎用
清热剂?清虚热,清骨散,银柴胡、胡黄连、秦艽、鳖甲、地骨皮、青蒿、知母、甘草,水煎服,清虚热，退骨蒸,肝肾阴虚，虚火内扰证：骨蒸潮热，或低热日久不退，形体消瘦，困倦盗汗,肝肾阴虚，虚火内炽，骨蒸劳热,君：银柴胡、胡黄连；臣：地骨皮、知母、青蒿；佐：秦艽、鳖甲；使：甘草,清虚热，退骨蒸，养阴透热,要点：骨蒸潮热、盗汗；实热禁用
清热剂?清虚热,当归六黄汤,当归、生地黄、熟地黄、黄芩、黄柏、黄连、黄芪,水煎服,滋阴泻火，固表止汗,阴虚火旺盗汗：发热盗汗，面赤心烦，口干唇燥，大便干结，小便黄赤,阴虚火旺，迫津外泄，卫气不固,君：当归、生地、熟地；臣：黄芩、黄连、黄柏；佐：黄芪,滋阴降火，固表止汗，补泻兼施,要点：盗汗、面赤心烦；气虚盗汗慎用
祛暑剂,香薷散,香薷、白扁豆、厚朴,水煎服,祛暑解表，化湿和中,阴暑：恶寒发热，头重身痛，无汗，腹痛吐泻，胸脘痞闷,夏感风寒，内伤湿滞，暑湿困脾,君：香薷；臣：厚朴；佐：白扁豆,祛暑解表，化湿和中，散寒除湿,要点：恶寒无汗、腹痛吐泻；阳暑禁用
祛暑剂,新加香薷饮,香薷、银花、鲜扁豆花、厚朴、连翘,水煎服,祛暑解表，清热化湿,暑温夹湿，复感于寒：发热头痛，恶寒无汗，口渴面赤，胸闷不舒,暑湿内蕴，寒邪束表，热重于湿,君：香薷；臣：银花、连翘、扁豆花；佐：厚朴,祛暑解表，清热化湿，偏于清热,要点：发热口渴、恶寒无汗；寒湿禁用
祛暑剂,六一散,滑石、甘草（6:1）,水煎服,清暑利湿,暑湿证：身热烦渴，小便不利，或泄泻,暑湿内阻，膀胱气化不利,君：滑石；臣：甘草,清暑利湿，甘寒生津，滑利小便,要点：身热烦渴、小便不利；阴虚小便不利慎用
祛暑剂,桂苓甘露饮,茯苓、甘草、白术、泽泻、官桂、石膏、寒水石、滑石、猪苓,水煎服,清暑解热，化气利湿,暑湿证：发热头痛，烦渴引饮，小便不利，霍乱吐下,暑热湿盛，水湿内停，气化失司,君：滑石、石膏、寒水石；臣：猪苓、茯苓、泽泻；佐：白术、官桂；使：甘草,清暑利湿，化气行水，寒热并用,要点：发热烦渴、小便不利；脾胃虚寒慎用
祛暑剂,清暑益气汤,西洋参、石斛、麦冬、黄连、竹叶、荷梗、知母、甘草、粳米、西瓜翠衣,水煎服,清暑益气，养阴生津,暑热气津两伤证：身热汗多，口渴心烦，小便短赤，体倦少气，精神不振,暑热耗气伤津，气阴两虚,君：西瓜翠衣、西洋参；臣：石斛、麦冬、知母；佐：黄连、竹叶、荷梗、粳米；使：甘草,清暑益气，养阴生津，清补并用,要点：汗多口渴、体倦少气；夹湿者慎用
祛痰剂?润燥化痰,贝母瓜蒌散,贝母、瓜蒌、天花粉、茯苓、橘红、桔梗,水煎服,润肺清热，理气化痰,燥痰咳嗽：咳嗽呛急，咯痰不爽，涩而难出，咽喉干燥哽痛,肺燥有痰，肺失清润，气机不利,君：贝母、瓜蒌；臣：天花粉；佐：茯苓、橘红、桔梗,润肺化痰，理气开结，清润不滞,要点：干咳痰黏、咽干；湿痰咳嗽禁用
祛痰剂?温化寒痰,苓甘五味姜辛汤,茯苓、甘草、干姜、细辛、五味子,水煎服,温肺化饮,寒饮咳嗽：咳痰量多，清稀色白，胸膈不快，舌苔白滑，脉弦滑,寒饮停肺，肺失宣降,君：干姜、细辛；臣：茯苓；佐：五味子；使：甘草,温肺化饮，散收并用，温散不伤正,要点：痰稀色白、苔白滑；热痰咳嗽禁用
祛痰剂?化痰息风,半夏白术天麻汤,半夏、天麻、茯苓、橘红、白术、甘草、生姜、大枣,水煎服,化痰息风，健脾祛湿,风痰上扰证：眩晕头痛，胸膈痞闷，恶心呕吐，舌苔白腻，脉弦滑,脾湿生痰，肝风内动，风痰上扰清空,君：半夏、天麻；臣：白术、茯苓；佐：橘红；使：甘草、姜枣,化痰息风，健脾祛湿，标本兼顾,要点：眩晕头痛、苔白腻；肝阳上亢眩晕慎用
消食剂?消食化滞,保和丸,山楂、神曲、半夏、茯苓、陈皮、连翘、莱菔子,为丸服,消食和胃,食滞胃脘证：脘腹痞满胀痛，嗳腐吞酸，恶食呕逆，或大便泄泻,饮食不节，食积内停，气机阻滞,君：山楂；臣：神曲、莱菔子；佐：半夏、茯苓、陈皮、连翘,消食和胃，清热祛湿，消食不伤胃,要点：脘腹胀满、嗳腐吞酸
消食剂?健脾消食,健脾丸,白术、木香、黄连、甘草、白茯苓、人参、神曲、陈皮、砂仁、麦芽、山楂、山药、肉豆蔻,为丸服,健脾和胃，消食止泻,脾虚食积证：食少难消，脘腹痞闷，大便溏薄，倦怠乏力，苔腻微黄,脾胃虚弱，食积内停，运化失常,君：人参、白术、茯苓；臣：山楂、神曲、麦芽；佐：木香、砂仁、陈皮、山药、肉蔻、黄连；使：甘草,健脾消食，清热祛湿，补消兼施,要点：食少难消、大便溏薄
驱虫剂,乌梅丸,乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏,为丸服,温脏安蛔,蛔厥证：腹痛时作，手足厥冷，烦闷呕吐，时发时止，得食即呕，常自吐蛔,上热下寒，蛔虫内扰，气机逆乱,君：乌梅；臣：蜀椒、细辛；佐：附子、干姜、桂枝、黄连、黄柏、人参、当归,温脏安蛔，清上温下，酸苦辛并用,要点：腹痛吐蛔、手足厥冷；湿热蛔厥慎用
痈疡剂,阳和汤,熟地、麻黄、鹿角胶、白芥子、肉桂、生甘草、炮姜炭,水煎服,温阳补血，散寒通滞,阴疽：漫肿无头，皮色不变，酸痛无热，口中不渴，舌淡苔白，脉沉细或迟细,阳虚血弱，寒凝痰滞，痹阻经络,君：熟地、鹿角胶；臣：肉桂、炮姜炭；佐：麻黄、白芥子；使：甘草,温阳补血，散寒通滞，温补不壅滞,要点：阴疽漫肿、皮色不变；阳证痈疡禁用
